Fecha,Numero,Loteria
1965-04-13,471,Cruz roja
1965-04-20,317,Cruz roja
1965-05-25,23,Cruz roja
1965-06-01,599,Cruz roja
1965-06-22,950,Cruz roja
1965-07-13,94,Cruz roja
1965-10-13,960,Cruz roja
1965-10-26,926,Cruz roja
1965-12-14,91,Cruz roja
1966-01-11,98,Cruz roja
1966-01-25,273,Cruz roja
1966-02-08,54,Cruz roja
1966-02-15,650,Cruz roja
1966-04-12,165,Cruz roja
1966-04-19,113,Cruz roja
1966-05-03,728,Cruz roja
1966-05-17,54,Cruz roja
1966-06-07,56,Cruz roja
1966-06-14,400,Cruz roja
1966-08-30,277,Cruz roja
1966-09-20,862,Cruz roja
1966-11-02,734,Cruz roja
1967-02-14,203,Cruz roja
1974-08-06,498,Cruz roja
1974-10-08,888,Cruz roja
1974-11-26,323,Cruz roja
1974-12-10,177,Cruz roja
1974-12-17,287,Cruz roja
1975-01-07,955,Cruz roja
1975-01-17,170,Medellín
1975-02-11,522,Cruz roja
1975-02-14,734,Medellín
1975-02-21,827,Medellín
1975-03-11,472,Cruz roja
1975-03-14,256,Medellín
1975-03-21,377,Medellín
1975-04-01,177,Cruz roja
1975-04-29,999,Cruz roja
1975-06-14,539,Cruz roja
1975-06-17,278,Cruz roja
1975-06-24,54,Cruz roja
1975-09-12,866,Medellín
1975-09-13,886,Cruz roja
1975-09-26,354,Medellín
1975-10-17,768,Medellín
1975-10-24,465,Medellín
1975-11-15,61,Cruz roja
1975-11-18,335,Cruz roja
1975-12-06,622,Cruz roja
1975-12-20,311,Cruz roja
1975-12-27,666,Cruz roja
1976-01-24,533,Cruz roja
1976-02-07,4,Cruz roja
1976-02-21,962,Cruz roja
1976-03-23,625,Cruz roja
1976-05-18,533,Cruz roja
1976-05-28,926,Medellín
1976-08-03,546,Cruz roja
1976-10-26,872,Cruz roja
1976-11-09,785,Cruz roja
1976-11-12,501,Medellín
1976-12-03,323,Medellín
1977-01-11,500,Cruz roja
1977-01-21,844,Medellín
1977-01-28,882,Medellín
1977-02-04,830,Medellín
1977-02-22,668,Cruz roja
1977-02-25,296,Medellín
1977-03-15,501,Cruz roja
1977-03-25,372,Medellín
1977-04-05,8,Cruz roja
1977-04-06,363,Medellín
1977-05-13,331,Medellín
1977-07-22,490,Medellín
1977-08-26,862,Medellín
1977-09-02,65,Medellín
1977-09-09,337,Medellín
1977-10-07,474,Medellín
1978-01-27,723,Medellín
1978-02-10,994,Medellín
1978-03-10,522,Medellín
1978-05-09,655,Cruz roja
1978-05-16,465,Cruz roja
1978-05-19,50,Medellín
1978-05-30,84,Cruz roja
1978-06-06,625,Cruz roja
1978-06-09,8,Medellín
1978-06-13,498,Cruz roja
1978-07-04,744,Cruz roja
1978-07-18,785,Cruz roja
1978-07-25,954,Cruz roja
1978-08-25,302,Medellín
1978-09-08,113,Medellín
1978-10-13,308,Medellín
1978-11-21,510,Cruz roja
1978-11-24,803,Medellín
1978-12-01,500,Medellín
1979-01-16,954,Cruz roja
1979-02-06,562,Cruz roja
1979-02-23,945,Medellín
1979-03-20,100,Cruz roja
1979-03-27,278,Cruz roja
1979-04-06,200,Medellín
1979-04-10,578,Cruz roja
1979-04-24,878,Cruz roja
1979-05-15,123,Cruz roja
1979-05-18,498,Medellín
1979-06-19,722,Cruz roja
1979-06-21,347,Medellín
1979-07-03,744,Cruz roja
1979-08-17,539,Medellín
1979-08-24,526,Medellín
1979-09-18,879,Cruz roja
1979-10-02,4,Cruz roja
1979-10-11,385,Medellín
1979-10-23,83,Cruz roja
1979-11-02,732,Medellín
1979-11-13,546,Cruz roja
1979-12-07,327,Medellín
1979-12-18,433,Cruz roja
1980-01-22,533,Cruz roja
1980-01-25,269,Medellín
1980-01-29,0,Cruz roja
1980-02-12,308,Cruz roja
1980-02-29,803,Medellín
1980-03-28,880,Medellín
1980-04-29,170,Cruz roja
1980-05-02,230,Medellín
1980-07-01,666,Cruz roja
1980-08-05,0,Cruz roja
1980-08-12,560,Cruz roja
1980-08-26,803,Cruz roja
1980-09-23,559,Cruz roja
1980-11-14,50,Medellín
1981-01-09,377,Medellín
1981-02-10,256,Cruz roja
1981-02-27,994,Medellín
1981-03-10,744,Cruz roja
1981-04-07,862,Cruz roja
1981-04-14,517,Cruz roja
1981-05-12,549,Cruz roja
1981-05-19,880,Cruz roja
1981-06-16,499,Cruz roja
1981-06-25,302,Medellín
1981-06-30,582,Cruz roja
1981-07-14,61,Cruz roja
1981-08-11,954,Cruz roja
1981-09-22,465,Cruz roja
1981-10-23,71,Medellín
1981-10-27,945,Cruz roja
1981-12-18,334,Medellín
1981-12-28,352,Cruz roja
1982-01-05,56,Cruz roja
1982-01-12,872,Cruz roja
1982-01-26,741,Cruz roja
1982-03-02,333,Cruz roja
1982-04-07,265,Medellín
1982-05-04,88,Cruz roja
1982-05-11,806,Cruz roja
1982-06-15,311,Cruz roja
