Fecha,Resultados
2006-04-19,8640
2006-04-20,7518
2006-04-21,8232
2006-04-22,2069
2006-04-23,8545
2006-04-25,7739
2006-04-26,6709
2006-04-27,6366
2006-04-28,2389
2006-04-29,5899
2006-04-30,2918
2006-05-03,2350
2006-05-04,3354
2006-05-05,1049
2006-05-06,4082
2006-05-07,8657
2006-05-09,5171
2006-05-10,6475
2006-05-11,9802
2006-05-12,3274
2006-05-13,3003
2006-05-14,8520
2006-05-16,3872
2006-05-17,2610
2006-05-18,2197
2006-05-19,2363
2006-05-20,6070
2006-05-21,5277
2006-05-23,8472
2006-05-24,4158
2006-05-25,4638
2006-05-26,5652
2006-05-27,3962
2006-05-28,1424
2006-05-31,9510
2006-06-01,1547
2006-06-02,5866
2006-06-03,9849
2006-06-04,6720
2006-06-06,7984
2006-06-07,1617
2006-06-08,3595
2006-06-09,2370
2006-06-10,5047
2006-06-11,2067
2006-06-13,8318
2006-06-14,6618
2006-06-15,6837
2006-06-16,6799
2006-06-17,1177
2006-06-18,835
2006-06-21,9068
2006-06-22,7753
2006-06-23,7296
2006-06-24,633
2006-06-25,4614
2006-06-27,7787
2006-06-28,4499
2006-06-29,8062
2006-06-30,4935
2006-07-01,9775
2006-07-02,4564
2006-07-04,3523
2006-07-05,7326
2006-07-06,3554
2006-07-07,3201
2006-07-08,3357
2006-07-09,9610
2006-07-11,3142
2006-07-12,5571
2006-07-13,8080
2006-07-14,7721
2006-07-15,4248
2006-07-16,7325
2006-07-18,4194
2006-07-19,1521
2006-07-20,414
2006-07-21,9739
2006-07-22,370
2006-07-23,2038
2006-07-25,8714
2006-07-26,65
2006-07-27,2145
2006-07-28,5473
2006-07-29,3534
2006-07-30,7588
2006-08-01,5396
2006-08-02,1796
2006-08-03,8730
2006-08-04,6298
2006-08-05,9059
2006-08-06,2349
2006-08-08,4520
2006-08-09,7816
2006-08-10,9269
2006-08-11,9259
2006-08-12,7934
2006-08-13,8985
2006-08-15,8563
2006-08-16,5806
2006-08-17,3248
2006-08-18,8441
2006-08-19,3688
2006-08-20,7178
2006-08-22,9464
2006-08-23,6382
2006-08-24,8732
2006-08-25,2770
2006-08-26,623
2006-08-27,9763
2006-08-29,6776
2006-08-30,2120
2006-08-31,4930
2006-09-01,6473
2006-09-02,1171
2006-09-03,7151
2006-09-05,1232
2006-09-06,1892
2006-09-07,5264
2006-09-08,2997
2006-09-09,327
2006-09-10,2746
2006-09-12,5571
2006-09-13,1641
2006-09-14,1689
2006-09-15,5021
2006-09-16,6967
2006-09-17,3947
2006-09-19,8986
2006-09-20,1129
2006-09-21,6834
2006-09-22,4807
2006-09-23,5034
2006-09-24,3980
2006-09-26,983
2006-09-27,4880
2006-09-28,8572
2006-09-29,7818
2006-09-30,3002
2006-10-01,9322
2006-10-03,3197
2006-10-04,8030
2006-10-05,3449
2006-10-06,7234
2006-10-07,5041
2006-10-08,9197
2006-10-10,4219
2006-10-11,912
2006-10-12,7543
2006-10-13,3297
2006-10-14,1876
2006-10-15,359
2006-10-17,7890
2006-10-18,1528
2006-10-19,8992
2006-10-20,6536
2006-10-21,6033
2006-10-22,6457
2006-10-24,2884
2006-10-25,8349
2006-10-26,2906
2006-10-27,1437
2006-10-28,7553
2006-10-29,1950
2006-10-31,3316
2006-11-01,3126
2006-11-02,5684
2006-11-03,3822
2006-11-04,9719
2006-11-05,7846
2006-11-08,5496
2006-11-09,7264
2006-11-10,2975
2006-11-11,7512
2006-11-12,2398
2006-11-15,5149
2006-11-16,641
2006-11-17,3666
2006-11-18,424
2006-11-19,9845
2006-11-21,8430
2006-11-22,5489
2006-11-23,5344
2006-11-24,9058
2006-11-25,6734
2006-11-26,2750
2006-11-28,7235
2006-11-29,1800
2006-11-30,8246
2006-12-01,1982
2006-12-02,8877
2006-12-03,2236
2006-12-05,3105
2006-12-06,6083
2006-12-07,4842
2006-12-08,7072
2006-12-10,3549
2006-12-12,9993
2006-12-13,8543
2006-12-14,3064
2006-12-15,4605
2006-12-16,8851
2006-12-17,615
2006-12-19,3043
2006-12-20,4993
2006-12-21,8758
2006-12-22,4328
2006-12-23,9058
2006-12-24,3450
2006-12-27,4414
2006-12-28,5787
2006-12-29,5705
2006-12-30,7997
2006-12-31,2970
2007-01-03,4328
2007-01-04,9790
2007-01-05,1772
2007-01-06,3407
2007-01-07,3641
2007-01-10,5051
2007-01-11,9295
2007-01-12,1872
2007-01-13,5942
2007-01-14,7769
2007-01-16,341
2007-01-17,5164
2007-01-18,5330
2007-01-19,4103
2007-01-20,5370
2007-01-21,8608
2007-01-23,329
2007-01-24,1930
2007-01-25,1136
2007-01-26,248
2007-01-27,6032
2007-01-28,3246
2007-01-30,5900
2007-01-31,497
2007-02-01,3733
2007-02-02,4391
2007-02-03,4977
2007-02-04,22
2007-02-06,305
2007-02-07,7987
2007-02-08,8196
2007-02-09,2722
2007-02-10,729
2007-02-11,303
2007-02-13,6660
2007-02-14,2513
2007-02-15,1565
2007-02-16,7548
2007-02-17,2021
2007-02-18,1860
2007-02-20,8976
2007-02-21,5025
2007-02-22,5109
2007-02-23,231
2007-02-24,228
2007-02-25,7815
2007-02-27,8479
2007-02-28,8233
2007-03-01,9363
2007-03-02,4056
2007-03-03,1090
2007-03-04,9059
2007-03-06,5622
2007-03-07,194
2007-03-08,8837
2007-03-09,1816
2007-03-10,5673
2007-03-11,7490
2007-03-13,3680
2007-03-14,8338
2007-03-15,3804
2007-03-16,2761
2007-03-17,3311
2007-03-18,4185
2007-03-21,5132
2007-03-22,8624
2007-03-23,3078
2007-03-24,8172
2007-03-25,9342
2007-03-27,6620
2007-03-28,2323
2007-03-29,2735
2007-03-30,7013
2007-03-31,1008
2007-04-01,5064
2007-04-03,2280
2007-04-04,3577
2007-04-05,6124
2007-04-08,1421
2007-04-10,2728
2007-04-11,2338
2007-04-12,7057
2007-04-13,4871
2007-04-14,2879
2007-04-15,2144
2007-04-17,8544
2007-04-18,2639
2007-04-19,9
2007-04-20,4707
2007-04-21,8759
2007-04-22,6119
2007-04-24,3884
2007-04-25,22
2007-04-26,5749
2007-04-27,2935
2007-04-28,6354
2007-04-29,7355
2007-05-01,2907
2007-05-03,310
2007-05-04,2595
2007-05-05,6279
2007-05-06,2649
2007-05-08,5195
2007-05-09,9175
2007-05-10,4830
2007-05-11,907
2007-05-12,4079
2007-05-13,2700
2007-05-15,7987
2007-05-16,7748
2007-05-17,669
2007-05-18,7747
2007-05-19,9050
2007-05-20,347
2007-05-23,4921
2007-05-24,978
2007-05-25,5198
2007-05-26,2284
2007-05-27,436
2007-05-29,729
2007-05-30,7677
2007-05-31,4031
2007-06-01,1968
2007-06-02,9831
2007-06-03,5091
2007-06-05,9563
2007-06-06,4785
2007-06-07,4154
2007-06-08,435
2007-06-09,5963
2007-06-10,3704
2007-06-13,407
2007-06-14,4489
2007-06-15,7438
2007-06-16,4733
2007-06-17,6026
2007-06-20,8682
2007-06-21,9822
2007-06-22,9095
2007-06-23,7319
2007-06-24,2190
2007-06-26,4883
2007-06-27,2548
2007-06-28,5570
2007-06-29,4547
2007-06-30,8397
2007-07-01,9605
2007-07-04,4870
2007-07-05,9787
2007-07-06,2862
2007-07-07,2737
2007-07-08,5927
2007-07-10,9497
2007-07-11,7494
2007-07-12,8870
2007-07-13,1015
2007-07-14,5755
2007-07-15,4092
2007-07-17,4909
2007-07-18,527
2007-07-19,4543
2007-07-20,1409
2007-07-22,646
2007-07-24,2872
2007-07-25,4275
2007-07-26,9062
2007-07-27,4554
2007-07-28,2923
2007-07-29,2178
2007-07-31,3412
2007-08-01,9133
2007-08-02,4437
2007-08-03,6334
2007-08-04,3772
2007-08-05,4718
2007-08-07,445
2007-08-09,7846
2007-08-10,7206
2007-08-11,2544
2007-08-12,9799
2007-08-14,8297
2007-08-15,593
2007-08-16,9800
2007-08-17,4455
2007-08-18,2902
