Fecha,Resultados,Signo
2008-02-01,6824,4
2008-02-02,4867,10
2008-02-04,7070,7
2008-02-05,7240,11
2008-02-06,6686,12
2008-02-07,663,6
2008-02-08,5405,1
2008-02-09,3242,4
2008-02-11,638,12
2008-02-12,9904,12
2008-02-13,1525,12
2008-02-14,7067,10
2008-02-15,3034,6
2008-02-16,4737,5
2008-02-18,7863,2
2008-02-19,590,9
2008-02-20,6028,11
2008-02-21,8203,6
2008-02-22,9873,10
2008-02-23,9972,2
2008-02-25,2532,12
2008-02-26,1537,12
2008-02-27,5815,6
2008-02-28,677,3
2008-02-29,2011,7
2008-03-01,9539,12
2008-03-03,242,8
2008-03-04,357,7
2008-03-05,5236,1
2008-03-06,1458,3
2008-03-07,7544,3
2008-03-08,8470,7
2008-03-10,7868,7
2008-03-11,2614,11
2008-03-12,5251,6
2008-03-13,4442,2
2008-03-14,4532,3
2008-03-15,6019,1
2008-03-17,4624,10
2008-03-18,3883,2
2008-03-19,5462,11
2008-03-22,553,10
2008-03-25,6325,4
2008-03-26,4112,5
2008-03-27,6305,3
2008-03-28,7110,12
2008-03-29,7420,11
2008-03-31,6671,12
2008-04-01,4544,6
2008-04-02,9654,10
2008-04-03,2168,2
2008-04-04,8214,10
2008-04-05,8418,1
2008-04-07,6476,3
2008-04-08,831,12
2008-04-09,2771,11
2008-04-10,109,6
2008-04-11,832,9
2008-04-12,621,4
2008-04-14,5879,4
2008-04-15,5151,10
2008-04-16,1252,2
2008-04-17,756,7
2008-04-18,2780,6
2008-04-19,2329,11
2008-04-21,5690,5
2008-04-22,6266,1
2008-04-23,6317,4
2008-04-24,6831,2
2008-04-25,8657,12
2008-04-26,355,1
2008-04-28,2808,9
2008-04-29,8909,7
2008-04-30,4933,3
2008-05-03,5412,9
2008-05-06,9854,3
2008-05-07,5012,3
2008-05-08,1103,4
2008-05-09,9317,3
2008-05-10,7954,3
2008-05-12,7559,9
2008-05-13,1443,2
2008-05-14,3376,9
2008-05-15,2076,9
2008-05-16,1431,1
2008-05-17,7345,6
2008-05-19,3182,12
2008-05-20,7905,7
2008-05-21,1594,10
2008-05-22,2427,4
2008-05-23,1809,1
2008-05-24,9817,7
2008-05-27,7271,7
2008-05-28,4782,4
2008-05-29,2225,12
2008-05-30,6629,6
2008-05-31,6931,11
2008-06-03,6481,9
2008-06-04,9616,7
2008-06-05,1951,12
2008-06-06,1851,11
2008-06-07,6687,7
