Fecha, Resultados
2023-07-01,4905
2023-07-02,2367
2023-07-03,1031
2023-07-04,3162
2023-07-05,2042
2023-07-06,2489
2023-07-07,2192
2023-07-08,2425
2023-07-09,6875
2023-07-10,5067
2023-07-11,8923
2023-07-12,9880
2023-07-13,5573
2023-07-14,9588
2023-07-15,4296
2023-07-16,1887
2023-07-17,5150
2023-07-18,5855
2023-07-19,2810
2023-07-20,4070
2023-07-21,2001
2023-07-22,7778
2023-07-23,3656
2023-07-24,5519
2023-07-25,1213
2023-07-26,2165
2023-07-27,1476
2023-07-28,1582
2023-07-29,9317
2023-07-30,2621
2023-07-31,8931
2023-08-01,2520
2023-08-02,7939
2023-08-03,5699
2023-08-04,775
2023-08-05,376
2023-08-06,9917
2023-08-07,4397
2023-08-08,9551
2023-08-09,2765
2023-08-10,7822
2023-08-11,7146
2023-08-12,6739
2023-08-13,8120
2023-08-14,3242
2023-08-15,7135
2023-08-16,9443
2023-08-17,7536
2023-08-18,6656
2023-08-19,5734
2023-08-20,8163
2023-08-21,7756
2023-08-22,134
2023-08-23,4343
2023-08-24,6857
2023-08-25,8417
2023-08-26,9475
2023-08-27,8679
2023-08-28,6411
2023-08-29,6318
2023-08-30,8453
2023-08-31,1906
2023-09-01,7052
2023-09-02,929
2023-09-03,2047
2023-09-04,5850
2023-09-05,2896
2023-09-06,7682
2023-09-07,9900
2023-09-08,6373
2023-09-09,9334
2023-09-10,5089
2023-09-11,9762
2023-09-12,754
2023-09-13,374
2023-09-14,3960
2023-09-15,1312
2023-09-16,3608
2023-09-17,9390
2023-09-18,4504
2023-09-19,6414
2023-09-20,606
2023-09-21,5793
2023-09-22,3785
2023-09-23,8607
2023-09-24,7875
2023-09-25,7738
2023-09-26,3995
2023-09-27,5363
2023-09-28,695
2023-09-29,6109
2023-09-30,668
2023-10-01,8793
2023-10-02,4316
2023-10-03,9860
2023-10-04,1079
2023-10-05,4949
2023-10-06,3613
2023-10-07,3615
2023-10-08,74
2023-10-09,8858
2023-10-10,7663
2023-10-11,5793
2023-10-12,6990
2023-10-13,5421
2023-10-14,8822
2023-10-15,5722
2023-10-16,8174
2023-10-17,6310
2023-10-18,1753
2023-10-19,8005
2023-10-20,7195
2023-10-21,4726
2023-10-22,6477
2023-10-23,702
2023-10-24,3563
2023-10-25,4751
2023-10-26,3654
2023-10-27,2324
2023-10-28,1993
2023-10-29,3572
2023-10-30,4542
2023-10-31,829
2023-11-01,8035
2023-11-02,7285
2023-11-03,951
2023-11-04,5799
2023-11-05,9658
2023-11-06,5899
2023-11-07,5802
2023-11-08,5267
2023-11-09,5742
2023-11-10,8796
2023-11-11,5652
2023-11-12,1943
2023-11-13,6098
2023-11-14,2741
2023-11-15,9738
2023-11-16,6885
2023-11-17,9684
2023-11-18,3120
2023-11-19,1333
2023-11-20,6830
2023-11-21,3803
2023-11-22,7879
2023-11-23,9199
2023-11-24,5310
2023-11-25,7473
2023-11-26,5923
2023-11-27,3930
2023-11-28,8571
2023-11-29,4969
2023-11-30,5853
2023-12-01,1890
2023-12-02,9766
2023-12-03,4884
2023-12-04,7654
2023-12-05,7721
2023-12-06,7935
2023-12-07,8711
2023-12-08,1450
2023-12-09,6435
2023-12-10,4902
2023-12-11,4806
2023-12-12,7023
2023-12-13,8040
2023-12-14,8051
2023-12-15,9923
2023-12-16,2939
2023-12-17,2116
2023-12-18,2928
2023-12-19,2979
2023-12-20,1245
2023-12-21,4883
2023-12-22,270
2023-12-23,8249
2023-12-24,3722
2023-12-25,3982
2023-12-26,8749
2023-12-27,428
2023-12-28,9138
2023-12-29,7348
2023-12-30,2977
2023-12-31,4967
2024-01-01,5830
2024-01-02,7415
2024-01-03,7186
2024-01-04,582
2024-01-05,1432
2024-01-06,5192
2024-01-07,9920
2024-01-08,8839
2024-01-09,2575
2024-01-10,8226
2024-01-11,9782
2024-01-12,1884
2024-01-13,4325
2024-01-14,1699
2024-01-15,7664
2024-01-16,9048
2024-01-17,8320
2024-01-18,2460
2024-01-19,1197
2024-01-20,8105
2024-01-21,6846
2024-01-22,4909
2024-01-23,9585
2024-01-24,8519
2024-01-25,5322
2024-01-26,4930
2024-01-27,550
2024-01-28,9748
2024-01-29,9289
2024-01-30,366
2024-01-31,5909
2024-02-01,1071
2024-02-02,4126
2024-02-03,8874
2024-02-04,1577
2024-02-05,5271
2024-02-06,97
2024-02-07,3977
2024-02-08,9884
2024-02-09,7640
2024-02-10,3268
2024-02-11,8785
2024-02-12,4165
2024-02-13,5083
2024-02-14,9421
2024-02-15,3062
2024-02-16,4061
2024-02-17,7206
2024-02-18,5435
2024-02-19,3863
2024-02-20,4220
2024-02-21,940
2024-02-22,2358
2024-02-23,2510
2024-02-24,8767
2024-02-25,7672
2024-02-26,9098
2024-02-27,1633
2024-02-28,7181
2024-02-29,1139
2024-03-01,6236
2024-03-02,8214
2024-03-03,9604
2024-03-04,4239
2024-03-05,5908
2024-03-06,3607
2024-03-07,7755
2024-03-08,3054
2024-03-09,4604
2024-03-10,5345
2024-03-11,4969
2024-03-12,467
2024-03-13,6814
2024-03-14,1144
2024-03-15,4382
2024-03-16,3859
2024-03-17,9131
2024-03-18,6975
2024-03-19,1700
2024-03-20,2733
2024-03-21,4157
2024-03-22,2784
2024-03-23,9493
2024-03-24,9666
2024-03-25,8364
2024-03-26,9754
2024-03-27,1812
2024-03-28,8274
2024-03-29,712
2024-03-30,170
2024-03-31,1825
2024-04-01,7377
2024-04-02,8030
2024-04-03,3534
2024-04-04,2070
2024-04-05,4359
2024-04-06,1601
2024-04-07,9555
2024-04-08,1793
2024-04-09,8152
2024-04-10,3725
2024-04-11,9572
2024-04-12,7777
2024-04-13,4971
2024-04-14,7708
2024-04-15,7714
2024-04-16,9344
