Fecha,Resultados
2007-12-11,6242
2007-12-12,8001
2007-12-13,7638
2007-12-14,3342
2007-12-15,1226
2007-12-17,6411
2007-12-18,3573
2007-12-19,4374
2007-12-20,4770
2007-12-21,5822
2007-12-22,1151
2007-12-26,905
2007-12-27,4539
2007-12-28,7740
2007-12-29,1291
2008-01-03,9014
2008-01-04,3222
2008-01-08,5108
2008-01-09,5580
2008-01-11,5342
2008-01-12,6251
2008-01-14,3184
2008-01-15,558
2008-01-16,9108
2008-01-17,3838
2008-01-18,696
2008-01-19,1130
2008-01-22,1978
2008-01-23,6387
2008-01-25,8757
2008-01-28,1230
2008-01-29,4129
2008-01-30,7561
2008-01-31,935
2008-02-01,7718
2008-02-02,253
2008-02-04,9824
2008-02-05,9188
2008-02-06,9274
2008-02-07,1302
2008-02-08,6475
2008-02-09,955
2008-02-11,3753
2008-02-12,731
2008-02-13,7413
2008-02-14,4387
2008-02-15,8443
2008-02-16,1141
2008-02-18,8277
2008-02-19,3958
2008-02-20,4082
2008-02-21,3637
2008-02-22,8224
2008-02-23,3360
2008-02-25,980
2008-02-26,4925
2008-02-27,6191
2008-02-28,5231
2008-02-29,2911
2008-03-01,5738
2008-03-03,4589
2008-03-04,8490
2008-03-05,7828
2008-03-06,5658
2008-03-07,776
2008-03-08,3521
2008-03-10,3766
2008-03-11,1677
2008-03-12,7004
2008-03-13,4793
2008-03-14,7705
2008-03-15,532
2008-03-17,153
2008-03-18,5212
2008-03-19,6780
2008-03-22,6614
2008-03-25,5478
2008-03-26,9916
2008-03-27,6009
2008-03-28,2368
2008-03-29,9292
2008-03-31,6627
2008-04-01,6262
2008-04-02,1598
2008-04-03,1034
2008-04-04,3223
2008-04-05,9477
2008-04-07,6081
2008-04-08,2720
2008-04-09,6953
2008-04-10,6778
2008-04-11,3107
2008-04-12,5345
2008-04-14,6270
2008-04-15,5640
2008-04-16,4601
2008-04-17,3486
2008-04-18,3920
2008-04-19,4150
2008-04-21,5988
2008-04-22,3369
2008-04-23,2333
2008-04-24,6300
2008-04-25,7111
2008-04-26,5374
2008-04-28,5945
2008-04-29,9730
2008-04-30,6057
2008-05-02,513
2008-05-03,5048
2008-05-06,961
2008-05-07,6369
2008-05-08,1811
2008-05-09,5651
2008-05-10,2695
2008-05-12,8617
2008-05-13,3824
2008-05-14,8497
2008-05-15,6818
2008-05-16,1753
2008-05-17,3902
2008-05-19,8934
2008-05-20,1306
2008-05-21,8956
2008-05-22,8288
2008-05-23,4245
2008-05-24,3858
2008-05-27,4955
2008-05-28,2905
2008-05-29,5403
2008-05-30,1868
2008-05-31,7087
2008-06-03,9495
2008-06-04,5073
2008-06-05,3915
2008-06-06,86
2008-06-07,2997
2008-06-09,1789
2008-06-10,4022
2008-06-11,5342
2008-06-12,3967
2008-06-13,5087
2008-06-14,789
2008-06-16,3729
2008-06-17,632
2008-06-18,2230
2008-06-19,1685
2008-06-20,7727
2008-06-21,897
2008-06-23,8180
2008-06-24,7664
2008-06-25,2824
2008-06-26,4652
2008-06-27,8362
2008-06-28,3218
