Fecha,Resultados
2001-01-04,1973
2001-01-11,9623
2001-01-18,4532
2001-01-25,7470
2001-02-01,604
2001-02-08,5676
2001-02-15,2356
2001-02-22,5491
2001-03-01,631
2001-03-08,2342
2001-03-15,2161
2001-03-22,6823
2001-03-29,7566
2001-04-05,9581
2001-04-19,7437
2001-04-26,8721
2001-05-03,4433
2001-05-10,8316
2001-05-17,4810
2001-05-24,5232
2001-05-31,200
2001-06-07,3668
2001-06-14,8648
2001-06-21,2235
2001-06-28,8484
2001-07-05,2795
2001-07-12,7827
2001-07-19,3678
2001-07-26,959
2001-08-02,3015
2001-08-09,9686
2001-08-16,4178
2001-08-23,646
2001-08-30,8920
2001-09-06,9424
2001-09-13,3557
2001-09-20,6527
2001-09-27,340
2001-10-04,2458
2001-10-11,2850
2001-10-18,6133
2001-10-25,7377
2001-11-01,7311
2001-11-08,4726
2001-11-15,7835
2001-11-22,5336
2001-11-29,8339
2001-12-06,5306
2001-12-13,2287
2001-12-20,211
2001-12-27,3381
2002-01-03,4277
2002-01-10,4935
2002-01-17,8616
2002-01-24,5746
2002-01-31,9271
2002-02-07,7594
2002-02-14,5113
2002-02-21,2927
2002-02-28,739
2002-03-07,9807
2002-03-14,1477
2002-03-21,2955
2002-04-04,2248
2002-04-11,8694
2002-04-18,884
2002-04-25,7976
2002-05-02,8376
2002-05-09,8033
2002-05-16,6828
2002-05-23,1495
2002-05-30,5925
2002-06-06,2474
2002-06-13,4078
2002-06-20,2060
2002-06-27,5695
2002-07-04,653
2002-07-11,2861
2002-07-18,3606
2002-07-25,4998
2002-08-01,584
2002-08-08,7886
2002-08-15,5903
2002-08-22,495
2002-08-29,6954
2002-09-05,3385
2002-09-12,7385
2002-09-19,9379
2002-09-26,6142
2002-10-03,5611
2002-10-10,383
2002-10-17,8402
2002-10-24,1534
2002-10-31,8036
2002-11-07,390
2002-11-14,6213
2002-11-21,4593
2002-11-28,9837
2002-12-05,8986
2002-12-12,3954
2002-12-19,9748
2002-12-26,9989
2003-01-02,5013
2003-01-09,3181
2003-01-16,1058
2003-01-23,5441
2003-01-30,9474
2003-02-06,2810
2003-02-13,4744
2003-02-20,6424
2003-02-27,2799
2003-03-06,1247
2003-03-13,2673
2003-03-20,5820
2003-03-27,684
2003-04-03,1141
2003-04-10,7663
2003-04-24,2735
2003-05-02,2588
2003-05-08,6196
2003-05-15,6022
2003-05-22,7282
2003-05-29,6013
2003-06-05,9495
2003-06-12,2148
2003-06-19,3982
2003-06-26,2570
2003-07-03,1220
2003-07-10,3011
2003-07-17,7873
2003-07-24,1127
2003-07-31,2222
2003-08-06,5896
2003-08-14,7482
2003-08-21,3396
2003-08-28,9725
2003-09-04,4047
2003-09-11,9525
2003-09-18,7568
2003-09-25,4423
2003-10-02,2526
2003-10-09,6284
2003-10-16,4452
2003-10-23,3454
2003-10-30,2536
2003-11-06,5895
2003-11-13,1162
2003-11-20,7147
2003-11-27,8953
2003-12-04,3931
2003-12-11,2964
2003-12-18,3456
2003-12-24,743
2004-01-08,1271
2004-01-15,3054
2004-01-22,5662
2004-01-29,7756
2004-02-05,3031
2004-02-12,9953
2004-02-19,1617
2004-02-26,5854
2004-03-04,8670
2004-03-11,2608
2004-03-18,4383
2004-03-25,7432
2004-04-01,3176
2004-04-15,4413
2004-04-22,3693
2004-04-29,9565
2004-05-06,6570
2004-05-13,3363
2004-05-20,7464
2004-05-27,5083
2004-06-03,5331
2004-06-10,8465
2004-06-17,5894
2004-06-24,7170
2004-07-01,2880
2004-07-08,7371
2004-07-15,1717
2004-07-22,3063
2004-07-29,3722
2004-08-05,7126
2004-08-12,5494
2004-08-19,3382
2004-08-26,8905
2004-09-02,9454
2004-09-09,1653
2004-09-16,3047
2004-09-23,6376
2004-09-30,7190
2004-10-07,1934
2004-10-14,982
2004-10-21,4455
2004-10-28,8202
2004-11-04,6866
2004-11-11,1664
2004-11-18,9330
2004-11-25,3587
2004-12-02,1257
2004-12-09,360
2004-12-16,5519
2004-12-23,1897
2004-12-30,7857
2005-01-06,9358
2005-01-13,8454
2005-01-20,757
2005-01-27,4229
2005-02-03,1828
2005-02-10,7438
2005-02-17,6775
2005-02-24,2622
2005-03-03,768
2005-03-10,6087
2005-03-17,455
2005-03-31,990
2005-04-07,962
2005-04-14,5688
2005-04-21,9709
2005-04-28,3647
2005-05-05,9658
2005-05-12,8418
2005-05-19,6830
2005-05-26,8515
2005-06-02,1901
2005-06-09,7846
2005-06-16,5689
2005-06-23,6262
2005-06-30,725
2005-07-07,8579
2005-07-14,1452
2005-07-21,6716
2005-07-28,6470
2005-08-04,9735
2005-08-11,3947
2005-08-18,4591
2005-08-25,3876
2005-09-01,9871
2005-09-08,569
2005-09-15,5722
2005-09-22,6358
2005-09-29,2637
2005-10-06,1233
2005-10-13,3850
2005-10-20,1594
2005-10-27,9442
2005-11-03,9887
2005-11-10,6406
2005-11-17,5746
2005-11-24,6832
2005-12-01,6978
2005-12-09,7014
2005-12-15,741
2005-12-22,5113
2005-12-29,3548
2006-01-05,5775
2006-01-12,5371
2006-01-19,8416
2006-01-26,425
2006-02-02,7601
2006-02-09,8080
2006-02-16,3640
2006-02-23,4346
2006-03-02,337
2006-03-09,7187
2006-03-16,7617
2006-03-23,3671
2006-03-30,4258
2006-04-06,445
2006-04-20,8778
2006-04-27,2478
2006-05-04,1908
2006-05-11,8679
2006-05-18,4564
2006-05-25,4901
2006-06-01,530
2006-06-08,1511
2006-06-15,7521
2006-06-22,2124
2006-06-29,89
2006-07-06,9251
2006-07-13,9014
2006-07-21,5790
2006-07-27,8696
2006-08-03,3823
2006-08-10,9860
2006-08-17,7137
2006-08-24,4158
2006-08-31,7150
2006-09-07,3716
2006-09-14,7434
2006-09-21,8497
2006-09-28,8478
2006-10-05,5991
2006-10-12,8618
2006-10-19,9530
2006-10-26,9658
2006-11-02,3417
2006-11-09,111
2006-11-16,2215
2006-11-23,5039
2006-11-30,5730
2006-12-07,7761
2006-12-14,5720
2006-12-21,5350
2006-12-28,9020
2007-01-04,4831
2007-01-11,3393
2007-01-18,8383
2007-01-25,8044
2007-02-01,9443
2007-02-08,2472
2007-02-15,8391
2007-02-22,9875
2007-03-01,8410
2007-03-08,5466
2007-03-15,3848
2007-03-22,4571
2007-03-29,8178
2007-04-12,3691
2007-04-19,138
2007-04-26,958
2007-05-03,5342
2007-05-10,4740
2007-05-17,4963
2007-05-24,8995
2007-05-31,3904
2007-06-07,8313
2007-06-14,3589
2007-06-21,7029
2007-06-28,2800
2007-07-05,223
2007-07-12,383
2007-07-19,9613
2007-07-26,1515
2007-08-02,421
2007-08-09,2852
2007-08-16,9146
2007-08-23,7984
2007-08-30,9037
2007-09-06,7571
2007-09-13,6169
2007-09-20,7552
2007-09-27,1808
2007-10-04,7661
2007-10-11,8219
