Fecha,Resultados
2006-02-02,9925
2006-02-03,6946
2006-02-04,2753
2006-02-06,1831
2006-02-07,8958
2006-02-08,8327
2006-02-09,7706
2006-02-10,8525
2006-02-11,9687
2006-02-13,2052
2006-02-14,8231
2006-02-15,1794
2006-02-16,7345
2006-02-17,5762
2006-02-18,3836
2006-02-20,7098
2006-02-21,6454
2006-02-22,6323
2006-02-23,8696
2006-02-24,7385
2006-02-25,4528
2006-02-27,7925
2006-02-28,8497
2006-03-01,7585
2006-03-02,3719
2006-03-03,2885
2006-03-04,2539
2006-03-06,263
2006-03-07,5261
2006-03-08,7446
2006-03-09,6695
2006-03-10,3435
2006-03-11,8508
2006-03-13,8775
2006-03-14,2324
2006-03-15,2613
2006-03-16,1703
2006-03-17,9362
2006-03-18,4246
2006-03-21,2963
2006-03-22,9962
2006-03-23,2206
2006-03-24,2889
2006-03-25,8318
2006-03-27,3594
2006-03-28,7901
2006-03-29,3356
2006-03-30,3032
2006-03-31,3894
2006-04-01,7758
2006-04-03,7410
2006-04-04,8657
2006-04-05,3147
2006-04-06,7244
2006-04-07,7817
2006-04-08,1953
2006-04-10,8569
2006-04-11,9487
2006-04-12,6133
2006-04-15,2393
2006-04-17,2882
2006-04-18,6084
2006-04-19,9045
2006-04-20,3598
2006-04-21,2038
2006-04-22,8132
2006-04-24,2172
2006-04-25,7955
2006-05-04,1114
2006-05-05,6600
2006-05-08,7020
2006-05-09,9713
2006-05-10,738
2006-05-11,1255
2006-05-12,5700
2006-05-13,713
2006-05-15,692
2006-05-16,6915
2006-05-17,6991
2006-05-18,3365
2006-05-19,7621
2006-05-20,2482
2006-05-22,1050
2006-05-23,4894
2006-05-24,84
2006-05-25,2177
2006-05-26,5884
2006-05-27,4197
2006-05-30,9189
2006-05-31,1547
2006-06-01,2817
2006-06-02,8949
2006-06-03,4159
2006-06-05,3346
2006-06-06,1139
2006-06-08,5760
2006-06-09,7749
2006-06-10,5869
2006-06-12,7254
2006-06-13,6406
2006-06-14,3553
2006-06-15,3202
2006-06-16,4796
2006-06-17,5018
2006-06-20,7357
2006-06-21,1049
2006-06-22,9438
2006-06-23,8914
2006-06-24,30
2006-06-27,3847
2006-06-28,3075
2006-06-29,685
2006-06-30,1714
2006-07-01,7709
2006-07-04,2200
2006-07-06,7692
2006-07-07,7395
2006-07-08,5317
2006-07-10,7931
2006-07-11,4829
2006-07-12,9953
2006-07-15,9121
2006-07-17,9811
2006-07-18,543
2006-07-19,3458
2006-07-20,9433
2006-07-21,8784
2006-07-22,4994
2006-07-24,4737
2006-07-25,4000
2006-07-26,3838
2006-07-27,2964
2006-07-28,1193
2006-07-29,9697
2006-07-31,6317
2006-08-01,1536
2006-08-02,1722
2006-08-03,2649
2006-08-04,516
2006-08-05,8970
2006-08-08,2521
2006-08-09,4449
2006-08-10,2208
2006-08-11,139
2006-08-14,3026
2006-08-15,9853
2006-08-16,7470
2006-08-17,7564
2006-08-25,755
2006-08-26,9253
2006-08-28,217
2006-08-29,7492
2006-08-30,6238
2006-08-31,4096
2006-09-01,7431
2006-09-02,4294
2006-09-04,6058
2006-09-05,5361
2006-09-06,9728
2006-09-07,978
2006-09-08,6297
2006-09-09,8599
2006-09-11,2881
2006-09-12,9197
2006-09-13,3420
2006-09-14,6171
2006-09-15,929
2006-09-16,8708
2006-09-18,5691
2006-09-19,1948
2006-09-20,7077
2006-09-21,4925
2006-09-22,1744
2006-09-23,8988
2006-09-25,28
2006-09-26,659
2006-09-27,4566
2006-09-28,9497
2006-09-29,5823
2006-09-30,9407
2006-10-04,2401
2006-10-05,4988
2006-10-06,1225
2006-10-07,2865
2006-10-09,7504
2006-10-10,1428
2006-10-11,7105
2006-10-12,1319
2006-10-13,4090
2006-10-14,9308
2006-10-17,1236
2006-10-18,2827
2006-10-19,2323
2006-10-20,8501
2006-10-21,2328
2006-10-23,388
2006-10-24,3071
2006-10-26,7278
2006-10-27,5552
2006-10-28,9235
2006-10-30,2930
2006-10-31,3267
2006-11-01,3453
2006-11-02,734
2006-11-03,9114
2006-11-04,430
2006-11-07,7017
2006-11-08,2714
2006-11-14,9016
2006-11-15,8987
2006-11-16,542
2006-11-17,6228
2006-11-18,3200
2006-11-27,682
2006-11-28,7873
2006-11-29,2562
2006-11-30,7068
2006-12-01,3
2006-12-02,1454
2006-12-04,6389
2006-12-05,631
2006-12-06,6970
2006-12-07,7119
2006-12-13,5191
2006-12-14,4967
2006-12-15,8180
2006-12-16,1025
2006-12-18,7655
2006-12-22,6239
2006-12-23,9413
2006-12-26,94
2006-12-27,226
2006-12-28,4841
2006-12-29,2903
2006-12-30,5411
2007-01-02,3474
2007-01-03,8679
2007-01-04,5151
2007-01-05,7980
2007-01-06,1420
2007-01-10,7120
2007-01-11,3325
2007-01-12,4748
2007-01-13,1409
2007-01-15,6603
2007-01-16,2141
2007-01-18,1579
2007-01-19,4007
2007-01-20,7094
2007-01-22,4777
2007-01-23,871
2007-01-24,4111
2007-01-25,8469
2007-01-26,7452
2007-01-27,8339
2007-01-29,6467
2007-02-01,9067
2007-02-02,164
2007-02-03,1315
2007-02-06,8911
2007-02-07,5783
2007-02-08,987
2007-02-09,3745
2007-02-10,8760
2007-02-12,2548
2007-02-14,3023
2007-02-15,1677
2007-02-16,4260
2007-02-17,4989
2007-02-19,223
2007-02-20,5467
2007-02-21,2157
2007-02-22,3727
2007-02-23,3507
2007-02-24,969
2007-02-26,120
2007-02-27,5229
2007-02-28,9650
2007-03-01,6603
2007-03-02,1493
2007-03-03,1722
2007-03-05,328
2007-03-06,3743
2007-03-07,9303
2007-03-08,906
2007-03-09,2160
2007-03-10,8858
2007-03-12,4567
2007-03-13,1486
2007-03-14,6906
2007-03-15,4819
2007-03-16,894
2007-03-17,289
2007-03-20,7351
2007-03-21,7577
2007-03-22,2050
2007-03-23,479
2007-03-24,872
2007-03-26,8155
2007-03-27,7963
2007-03-28,4376
2007-03-29,9740
2007-03-30,1852
2007-03-31,6590
2007-04-02,3515
2007-04-03,466
2007-04-04,6500
2007-04-07,1165
2007-04-09,2833
2007-04-10,7563
2007-04-11,3272
2007-04-12,9299
2007-04-13,7777
2007-04-14,1398
2007-04-16,7478
2007-04-17,2693
2007-04-18,4954
2007-04-19,9323
2007-04-20,6836
2007-04-21,1663
2007-04-23,1248
2007-04-24,5000
2007-04-25,2023
2007-04-26,5246
2007-04-27,3984
2007-04-28,6888
2007-04-30,9058
2007-05-02,6236
2007-05-03,7694
2007-05-04,6531
2007-05-05,6147
2007-05-07,8832
2007-05-08,5502
2007-05-09,1491
2007-05-10,5867
2007-05-11,5128
2007-05-12,6499
2007-05-14,8284
2007-05-15,1652
2007-05-16,4881
2007-05-17,9254
2007-05-18,7125
2007-05-19,8919
2007-05-22,6393
2007-05-23,3781
2007-05-24,8197
2007-05-25,8255
2007-05-26,6110
2007-05-28,9285
2007-05-29,9300
2007-05-30,8507
2007-05-31,2365
2007-06-01,2391
2007-06-02,4367
2007-06-04,4188
2007-06-05,8130
2007-06-06,5460
2007-06-07,8517
2007-06-08,9802
2007-06-09,5924
2007-06-12,5623
2007-06-13,2470
2007-06-14,9329
2007-06-15,5935
2007-06-16,6790
2007-06-19,1923
2007-06-20,6177
2007-06-21,8323
2007-06-22,7202
2007-06-23,314
2007-06-25,3195
2007-06-26,8488
2007-06-27,1132
2007-06-28,8302
2007-06-29,3633
2007-06-30,1835
2007-07-03,8784
2007-07-04,1471
2007-07-05,5567
2007-07-06,1258
2007-07-07,5959
2007-07-09,7537
2007-07-10,3427
2007-07-11,277
2007-07-12,7981
2007-07-13,725
2007-07-14,8227
2007-07-16,8039
2007-07-17,8744
2007-07-18,4486
2007-07-19,3649
2007-07-21,3841
2007-07-23,7890
2007-07-24,405
2007-07-25,9152
2007-07-26,8472
2007-07-27,601
2007-07-28,5476
2007-07-30,5234
2007-07-31,3812
2007-08-01,3384
2007-08-02,107
2007-08-03,5740
2007-08-04,5412
2007-08-06,2820
2007-08-08,8801
2007-08-09,4335
2007-08-10,3360
2007-08-11,4543
2007-08-13,1763
2007-08-14,5642
2007-08-15,3871
2007-08-16,6592
2007-08-17,6631
2007-08-18,2988
2007-08-21,866
2007-08-22,5038
2007-08-23,2012
2007-08-24,6928
2007-08-25,5032
2007-08-27,8480
2007-08-28,9502
2007-08-29,3440
2007-08-30,1011
2007-08-31,4350
2007-09-01,9289
2007-09-03,869
2007-09-04,70
2007-09-05,6788
2007-09-06,8312
2007-09-07,9823
2007-09-08,5505
2007-09-10,494
2007-09-11,5468
2007-09-12,9442
2007-09-13,7783
2007-09-14,7651
2007-09-15,5552
2007-09-17,8179
2007-09-18,4787
2007-09-19,5431
2007-09-20,8750
2007-09-21,2676
2007-09-22,7584
2007-09-24,9979
2007-09-25,8851
2007-09-26,2989
2007-09-27,4157
2007-09-28,4605
2007-09-29,767
2007-10-01,9006
2007-10-02,3295
2007-10-03,8407
2007-10-04,8040
2007-10-05,5588
2007-10-06,9706
2007-10-08,7293
2007-10-09,1926
2007-10-10,8084
2007-10-11,1130
2007-10-12,2342
2007-10-13,1673
2007-10-16,5429
2007-10-17,2419
2007-10-18,4829
2007-10-19,4812
2007-10-20,3861
2007-10-22,4231
2007-10-23,3977
2007-10-24,4503
2007-10-25,5700
2007-10-26,6249
2007-10-27,7597
2007-10-29,1786
2007-10-30,2257
2007-10-31,1892
2007-11-01,4699
2007-11-02,5226
2007-11-03,4306
2007-11-06,2889
2007-11-07,9642
2007-11-08,7889
2007-11-09,825
2007-11-10,2229
2007-11-13,2529
2007-11-14,4578
2007-11-15,7753
2007-11-16,6782
2007-11-17,3800
2007-11-19,8052
2007-11-20,9473
2007-11-21,8618
2007-11-22,7778
2007-11-23,7355
2007-11-24,725
2007-11-26,479
2007-11-27,1704
2007-11-28,285
2007-11-29,6350
2007-11-30,1893
2007-12-01,312
2007-12-03,1391
2007-12-04,2495
2007-12-05,8875
2007-12-06,3538
2007-12-07,7991
2007-12-08,9491
2007-12-10,8604
2007-12-11,2057
2007-12-12,1363
2007-12-13,4009
2007-12-14,3780
2007-12-15,9266
2007-12-17,3701
2007-12-18,3831
2007-12-19,5299
2007-12-20,7099
2007-12-21,6765
2007-12-22,6787
2007-12-24,4589
2007-12-26,7022
2007-12-27,7081
2007-12-28,8215
2007-12-29,5022
2007-12-31,3531
2008-01-02,5914
2008-01-03,4379
2008-01-04,9191
2008-01-05,5067
2008-01-08,5752
2008-01-09,335
2008-01-10,2826
2008-01-11,4519
2008-01-12,5897
2008-01-14,6172
2008-01-15,4928
2008-01-16,9942
2008-01-17,2495
2008-01-18,9404
2008-01-19,7964
2008-01-21,6910
2008-01-22,9121
2008-01-23,8956
2008-01-24,3939
2008-01-25,7391
2008-01-26,754
2008-01-28,3380
2008-01-29,8397
2008-01-30,7057
2008-01-31,6718
2008-02-01,2348
2008-02-02,7401
2008-02-04,8298
2008-02-05,2510
2008-02-06,6390
2008-02-07,8781
2008-02-08,5461
2008-02-09,4773
2008-02-11,7141
2008-02-12,6209
2008-02-13,516
2008-02-14,9883
2008-02-15,9739
2008-02-16,5002
2008-02-18,3918
2008-02-19,1208
2008-02-20,4922
2008-02-21,3583
2008-02-22,3276
2008-02-23,8269
2008-02-25,9283
2008-02-26,6221
2008-02-27,4853
2008-02-28,2732
2008-02-29,4748
2008-03-01,4364
2008-03-03,7899
2008-03-04,5904
2008-03-05,7507
2008-03-06,3201
2008-03-07,2468
2008-03-08,8462
2008-03-10,8221
2008-03-11,6615
2008-03-12,7457
2008-03-13,3729
2008-03-14,4767
2008-03-15,5194
2008-03-17,1385
2008-03-18,1826
2008-03-19,1244
2008-03-22,4837
2008-03-25,5024
2008-03-26,6903
2008-03-27,9377
2008-03-28,4317
2008-03-29,4453
2008-03-31,1778
2008-04-01,9711
2008-04-02,8751
2008-04-03,798
2008-04-04,9250
2008-04-05,366
2008-04-07,4341
2008-04-08,3347
2008-04-09,3888
2008-04-10,9269
2008-04-10,6491
2008-04-11,792
2008-04-12,1820
2008-04-14,7178
2008-04-15,169
2008-04-16,8332
2008-04-17,7792
2008-04-18,9225
2008-04-19,6094
2008-04-28,2133
2008-04-29,4959
2008-04-30,193
2008-05-02,229
2008-05-03,2518
2008-05-06,1383
2008-05-07,8971
2008-05-08,6787
2008-05-09,6861
2008-05-10,6524
2008-05-12,40
2008-05-13,3379
2008-05-14,1022
2008-05-15,9302
2008-05-16,5179
2008-05-17,7357
2008-05-19,2155
2008-05-20,424
2008-05-21,7995
2008-05-22,6858
2008-05-23,6050
2008-05-24,5639
2008-05-27,4067
2008-05-28,9591
2008-05-29,78
2008-05-30,3989
2008-05-31,3887
2008-06-03,8425
2008-06-04,2709
2008-06-05,3164
2008-06-06,3971
2008-06-07,6730
2008-06-09,6198
2008-06-10,3546
2008-06-11,85
2008-06-12,491
2008-06-13,5246
2008-06-14,419
2008-06-16,1393
2008-06-17,4763
2008-06-18,3816
2008-06-19,1282
2008-06-20,6621
2008-06-21,8917
2008-06-23,4149
2008-06-24,8153
2008-06-25,6451
2008-06-26,9530
2008-06-27,3979
2008-06-28,8348
2008-07-01,3598
2008-07-02,3601
2008-07-02,7660
2008-07-04,7291
2008-07-05,5184
2008-07-07,9572
2008-07-08,5314
2008-07-09,8939
2008-07-10,3895
2008-07-11,8759
2008-07-12,6169
2008-07-14,1341
2008-07-15,6625
2008-07-16,4623
2008-07-17,9864
2008-07-18,6688
2008-07-19,440
2008-07-21,9526
2008-07-22,1531
2008-07-23,41
2008-07-24,401
2008-07-25,9212
2008-07-26,346
2008-07-28,9465
2008-07-29,8236
2008-07-30,619
2008-07-31,8750
2008-08-01,67
2008-08-02,6617
2008-08-04,5449
2008-08-06,5340
2008-08-08,9537
2008-08-09,1573
2008-08-11,4730
2008-08-12,8380
2008-08-12,605
2008-08-14,348
2008-08-15,8711
2008-08-16,1425
2008-08-19,8406
2008-08-20,4053
2008-08-21,9148
2008-08-22,5539
2008-08-23,1272
2008-08-25,6970
2008-08-26,4554
2008-08-27,7451
2008-08-28,6850
2008-08-29,513
2008-08-30,8952
2008-09-01,3188
2008-09-02,7429
2008-09-03,3003
2008-09-04,3503
2008-09-05,7549
2008-09-06,3541
2008-09-08,4872
2008-09-09,783
2008-09-10,4349
2008-09-11,7692
2008-09-12,4143
2008-09-13,167
2008-09-15,4965
2008-09-16,9438
2008-09-17,7395
2008-09-18,1231
2008-09-19,263
2008-09-20,9332
2008-09-22,9007
2008-09-23,1960
2008-09-24,2855
2008-09-25,7967
2008-09-26,2287
2008-09-27,4124
2008-09-29,184
2008-09-30,2111
2008-10-01,7268
2008-10-02,7182
2008-10-03,7219
2008-10-04,6606
2008-10-06,1153
2008-10-07,8190
2008-10-08,9670
2008-10-09,2859
2008-10-10,5094
2008-10-11,1382
2008-10-14,3954
2008-10-15,443
2008-10-16,5372
2008-10-17,5697
2008-10-18,2348
2008-10-20,486
2008-10-21,7090
2008-10-22,5695
2008-10-23,3777
2008-10-24,4391
2008-10-25,8686
2008-10-27,670
2008-10-28,3410
2008-10-29,2803
2008-10-30,165
2008-10-31,7560
2008-11-01,3606
2008-11-04,617
2008-11-05,1072
2008-11-06,2502
2008-11-07,3733
2008-11-08,9434
2008-11-10,7175
2008-11-11,9657
2008-11-12,5094
2008-11-13,847
2008-11-14,3142
2008-11-15,3087
2008-11-18,6953
2008-11-19,9652
2008-11-20,850
2008-11-21,7792
2008-11-22,4182
2008-11-24,1585
2008-11-25,2443
2008-11-26,1084
2008-11-27,8420
2008-11-28,217
2008-11-29,6959
2008-12-01,6438
2008-12-02,3340
2008-12-03,3167
