Fecha,Resultados
2008-05-19,100
2008-05-20,924
2008-05-21,269
2008-05-22,525
2008-05-23,3
2008-05-24,834
2008-05-25,619
2008-05-26,252
2008-05-27,41
2008-05-28,779
2008-05-29,498
2008-05-30,910
2008-05-31,952
2008-06-01,194
2008-06-02,844
2008-06-03,433
2008-06-04,719
2008-06-05,55
2008-06-06,892
2008-06-07,994
2008-06-08,676
2008-06-09,86
2008-06-10,695
2008-06-11,25
2008-06-12,541
2008-06-13,154
2008-06-14,146
2008-06-15,962
2008-06-16,458
2008-06-17,924
2008-06-18,712
2008-06-19,786
2008-06-20,351
2008-06-21,285
2008-06-22,617
2008-06-23,156
2008-06-24,614
2008-06-25,699
2008-06-26,187
2008-06-27,10
2008-06-28,829
2008-06-29,365
2008-06-30,948
2008-07-01,916
2008-07-02,225
2008-07-03,92
2008-07-04,419
2008-07-05,587
2008-07-06,960
2008-07-07,920
2008-07-08,658
2008-07-09,530
2008-07-10,401
2008-07-11,977
2008-07-12,967
2008-07-13,107
2008-07-14,108
2008-07-15,67
2008-07-16,628
2008-07-17,294
2008-07-18,619
2008-07-19,741
2008-07-20,413
2008-07-21,799
2008-07-22,311
2008-07-23,23
2008-07-24,295
2008-07-25,989
2008-07-26,992
2008-07-27,252
2008-07-28,796
2008-07-29,556
2008-07-30,695
2008-07-31,151
2008-08-01,180
2008-08-02,373
2008-08-03,990
2008-08-04,559
2008-08-05,612
2008-08-06,595
2008-08-07,89
2008-08-08,493
2008-08-09,835
2008-08-10,561
2008-08-11,547
2008-08-12,703
2008-08-13,587
2008-08-14,907
2008-08-15,679
2008-08-16,589
2008-08-17,846
2008-08-18,629
2008-08-19,655
2008-08-20,266
2008-08-21,381
2008-08-22,905
2008-08-23,727
2008-08-24,485
2008-08-25,543
2008-08-26,973
2008-08-27,429
2008-08-28,16
2008-08-29,249
2008-08-30,758
2008-08-31,710
2008-09-01,912
2008-09-02,862
2008-09-03,243
2008-09-04,42
2008-09-05,666
2008-09-06,956
2008-09-07,974
2008-09-08,363
2008-09-09,854
2008-09-10,98
2008-09-11,607
2008-09-12,259
2008-09-13,800
2008-09-14,944
2008-09-15,110
2008-09-16,367
2008-09-17,65
2008-09-18,325
2008-09-19,878
2008-09-20,711
2008-09-21,287
2008-09-22,6
2008-09-23,730
2008-09-24,80
2008-09-25,573
2008-09-26,75
2008-09-27,93
2008-09-28,963
2008-09-29,781
2008-09-30,303
2008-10-01,696
2008-10-02,819
2008-10-03,259
2008-10-04,263
2008-10-05,798
2008-10-06,891
2008-10-07,512
2008-10-08,285
2008-10-09,270
2008-10-10,417
2008-10-11,851
2008-10-12,76
2008-10-13,577
2008-10-14,390
2008-10-15,545
2008-10-16,256
2008-10-17,670
2008-10-18,327
2008-10-19,711
2008-10-20,988
2008-10-21,519
2008-10-22,175
2008-10-23,888
2008-10-24,875
2008-10-25,650
2008-10-26,328
2008-10-27,601
2008-10-28,359
2008-10-29,53
2008-10-30,487
2008-10-31,946
2008-11-01,395
2008-11-02,636
2008-11-03,191
2008-11-04,398
2008-11-05,884
2008-11-06,80
2008-11-07,322
2008-11-08,239
2008-11-09,627
2008-11-10,534
2008-11-11,742
2008-11-12,992
2008-11-13,200
2008-11-14,33
2008-11-15,706
2008-11-16,360
2008-11-17,431
2008-11-18,972
2008-11-19,20
2008-11-20,965
2008-11-21,998
2008-11-22,307
2008-11-23,101
2008-11-24,874
2008-11-25,998
2008-11-26,946
2008-11-27,803
2008-11-28,234
2008-11-29,466
2008-11-30,516
2008-12-01,274
2008-12-02,250
2008-12-03,4
2008-12-04,906
2008-12-05,696
2008-12-06,506
2008-12-07,685
2008-12-08,794
2008-12-09,131
2008-12-10,264
2008-12-11,652
2008-12-12,881
2008-12-13,79
2008-12-14,338
2008-12-15,579
2008-12-16,933
2008-12-17,217
2008-12-18,396
2008-12-19,19
2008-12-20,929
2008-12-21,960
2008-12-22,433
2008-12-23,574
2008-12-24,851
2008-12-25,54
2008-12-26,944
2008-12-27,379
2008-12-28,530
2008-12-29,978
2008-12-30,774
2008-12-31,622
2009-01-01,207
2009-01-02,190
2009-01-03,506
2009-01-04,195
2009-01-05,697
2009-01-06,570
2009-01-07,82
2009-01-08,288
2009-01-09,401
2009-01-10,161
2009-01-11,880
2009-01-12,454
2009-01-13,268
2009-01-14,88
2009-01-15,463
2009-01-16,221
2009-01-17,993
2009-01-18,516
2009-01-19,710
2009-01-20,354
2009-01-21,348
2009-01-22,462
2009-01-23,539
2009-01-24,436
2009-01-25,74
2009-01-26,445
2009-01-27,944
2009-01-28,113
2009-01-29,870
2009-01-30,71
2009-01-31,227
2009-02-01,544
2009-02-02,935
2009-02-03,538
2009-02-04,547
2009-02-05,738
2009-02-06,309
2009-02-07,364
2009-02-08,28
2009-02-09,200
2009-02-10,618
2009-02-11,26
2009-02-12,498
2009-02-13,299
2009-02-14,772
2009-02-15,140
2009-02-16,853
2009-02-17,288
2009-02-18,810
2009-02-19,572
2009-02-20,560
2009-02-21,230
2009-02-22,63
2009-02-23,827
2009-02-24,189
2009-02-25,484
2009-02-26,445
2009-02-27,917
2009-02-28,373
2009-03-01,567
2009-03-02,393
2009-03-03,471
2009-03-04,501
2009-03-05,640
2009-03-06,29
2009-03-07,140
2009-03-08,721
2009-03-09,399
2009-03-10,606
2009-03-11,822
2009-03-12,611
2009-03-13,670
2009-03-14,133
2009-03-15,467
2009-03-16,77
2009-03-17,218
2009-03-18,850
2009-03-19,623
2009-03-20,680
2009-03-21,839
2009-03-22,701
2009-03-23,761
2009-03-24,992
2009-03-25,388
2009-03-26,774
2009-03-27,44
2009-03-28,670
2009-03-29,716
2009-03-30,308
2009-03-31,578
2009-04-01,757
2009-04-02,439
2009-04-03,702
2009-04-04,830
2009-04-05,464
2009-04-06,294
2009-04-07,182
2009-04-08,493
2009-04-09,871
2009-04-10,412
2009-04-11,109
2009-04-12,578
2009-04-13,133
2009-04-14,192
2009-04-15,199
2009-04-16,394
2009-04-17,624
2009-04-18,237
2009-04-19,987
2009-04-20,574
2009-04-21,706
2009-04-22,787
2009-04-23,614
2009-04-24,707
2009-04-25,584
2009-04-26,249
2009-04-27,464
2009-04-28,846
2009-04-29,260
2009-04-30,66
2009-05-01,319
2009-05-02,810
2009-05-03,497
2009-05-04,864
2009-05-05,569
2009-05-06,661
2009-05-07,700
2009-05-08,5
2009-05-09,293
2009-05-10,153
2009-05-11,764
2009-05-12,388
2009-05-13,636
2009-05-14,246
2009-05-15,987
2009-05-16,191
2009-05-17,186
2009-05-18,59
2009-05-19,160
2009-05-20,834
2009-05-21,722
2009-05-22,185
2009-05-23,804
2009-05-24,754
2009-05-25,129
2009-05-26,676
2009-05-27,631
2009-05-28,725
2009-05-29,74
2009-05-30,997
2009-05-31,465
2009-06-01,105
2009-06-02,880
2009-06-03,549
2009-06-04,521
2009-06-05,462
2009-06-06,405
2009-06-07,154
2009-06-08,630
2009-06-09,692
2009-06-10,592
2009-06-11,606
2009-06-12,125
2009-06-13,496
2009-06-14,466
2009-06-15,937
2009-06-16,890
2009-06-17,952
2009-06-18,47
2009-06-19,27
2009-06-20,506
2009-06-21,734
2009-06-22,738
2009-06-23,443
2009-06-24,975
2009-06-25,800
2009-06-26,155
2009-06-27,981
2009-06-28,365
2009-06-29,741
2009-06-30,91
2009-07-01,765
2009-07-02,297
2009-07-03,193
2009-07-04,405
2009-07-05,608
2009-07-06,460
2009-07-07,700
2009-07-08,511
2009-07-09,342
2009-07-10,821
2009-07-11,871
2009-07-12,37
2009-07-13,132
2009-07-14,929
2009-07-15,103
2009-07-16,973
2009-07-17,508
2009-07-18,744
2009-07-19,109
2009-07-20,277
2009-07-21,148
2009-07-22,473
2009-07-23,165
2009-07-24,111
2009-07-25,503
2009-07-26,431
2009-07-27,584
2009-07-28,70
2009-07-29,3
2009-07-30,372
2009-07-31,687
2009-08-01,19
2009-08-02,563
2009-08-03,558
2009-08-04,692
2009-08-05,874
2009-08-06,288
2009-08-07,410
2009-08-08,108
2009-08-09,153
2009-08-10,659
2009-08-11,357
2009-08-12,674
2009-08-13,843
2009-08-14,381
2009-08-15,869
2009-08-16,636
2009-08-17,121
2009-08-18,637
2009-08-19,262
2009-08-20,98
2009-08-21,917
2009-08-22,21
2009-08-23,170
2009-08-24,677
2009-08-25,80
2009-08-26,566
2009-08-27,629
2009-08-28,553
2009-08-29,411
2009-08-30,714
2009-08-31,504
2009-09-01,639
2009-09-02,97
2009-09-03,595
2009-09-04,769
2009-09-05,754
2009-09-06,164
2009-09-07,904
2009-09-08,670
2009-09-09,243
2009-09-10,393
2009-09-11,101
2009-09-12,756
2009-09-13,904
2009-09-14,983
2009-09-15,872
2009-09-16,853
2009-09-17,886
2009-09-18,794
2009-09-19,63
2009-09-20,885
2009-09-21,233
