Fecha,Resultados
2024-01-01,291
2024-01-01,338
2024-01-02,556
2024-01-02,684
2024-01-03,863
2024-01-03,985
2024-01-04,823
2024-01-04,366
2024-01-05,153
2024-01-05,199
2024-01-06,85
2024-01-06,936
2024-01-07,772
2024-01-07,654
2024-01-08,201
2024-01-08,192
2024-01-09,876
2024-01-09,666
2024-01-10,269
2024-01-10,406
2024-01-11,821
2024-01-11,931
2024-01-12,549
2024-01-12,480
2024-01-13,136
2024-01-13,603
2024-01-14,287
2024-01-14,576
2024-01-15,877
2024-01-15,811
2024-01-16,514
2024-01-16,551
2024-01-17,499
2024-01-17,658
2024-01-18,470
2024-01-18,997
2024-01-19,526
2024-01-19,643
2024-01-20,372
2024-01-20,424
2024-01-21,828
2024-01-21,540
2024-01-22,942
2024-01-22,418
2024-01-23,199
2024-01-23,587
2024-01-24,188
2024-01-24,695
2024-01-25,202
2024-01-25,278
2024-01-26,93
2024-01-26,358
2024-01-27,935
2024-01-27,592
2024-01-28,507
2024-01-28,820
2024-01-29,978
2024-01-29,648
2024-01-30,874
2024-01-30,741
2024-01-31,313
2024-01-31,339
2024-02-01,269
2024-02-01,787
2024-02-02,295
2024-02-02,466
2024-02-03,878
2024-02-03,727
2024-02-04,21
2024-02-04,993
2024-02-05,279
2024-02-05,743
2024-02-06,617
2024-02-06,725
2024-02-07,986
2024-02-07,311
2024-02-08,83
2024-02-08,597
2024-02-09,790
2024-02-09,750
2024-02-10,62
2024-02-10,585
2024-02-11,923
2024-02-11,512
2024-02-12,820
2024-02-12,769
2024-02-13,668
2024-02-13,490
2024-02-14,86
2024-02-14,376
2024-02-15,287
2024-02-15,973
2024-02-16,763
2024-02-16,817
2024-02-17,672
2024-02-17,162
2024-02-18,523
2024-02-18,226
2024-02-19,685
2024-02-19,400
2024-02-20,420
2024-02-20,830
2024-02-21,619
2024-02-21,664
2024-02-22,211
2024-02-22,267
2024-02-23,786
2024-02-23,949
2024-02-24,13
2024-02-24,354
2024-02-25,962
2024-02-25,418
2024-02-26,767
2024-02-26,24
2024-02-27,530
2024-02-27,28
2024-02-28,357
2024-02-28,148
2024-02-29,861
2024-02-29,482
2024-03-01,670
2024-03-01,121
2024-03-02,918
2024-03-02,196
2024-03-03,682
2024-03-03,273
2024-03-04,654
2024-03-04,506
2024-03-05,79
2024-03-05,632
2024-03-06,220
2024-03-06,250
2024-03-07,925
2024-03-07,664
2024-03-08,942
2024-03-08,932
2024-03-09,518
2024-03-09,588
2024-03-10,583
2024-03-10,722
2024-03-11,260
2024-03-11,926
2024-03-12,782
2024-03-12,321
2024-03-13,424
2024-03-13,211
2024-03-14,161
2024-03-14,456
2024-03-15,52
2024-03-15,961
2024-03-16,206
2024-03-16,558
2024-03-17,615
2024-03-17,601
2024-03-18,672
2024-03-18,865
2024-03-19,929
2024-03-19,676
2024-03-20,900
2024-03-20,107
2024-03-21,981
2024-03-21,175
2024-03-22,201
2024-03-22,262
2024-03-23,13
2024-03-23,396
2024-03-24,134
2024-03-24,299
2024-03-25,365
2024-03-25,370
2024-03-26,706
2024-03-26,794
2024-03-27,380
2024-03-27,922
2024-03-28,408
2024-03-28,517
2024-03-29,850
2024-03-29,511
2024-03-30,539
2024-03-30,840
2024-03-31,988
2024-03-31,481
2024-04-01,357
2024-04-01,454
2024-04-02,736
2024-04-02,954
2024-04-03,970
2024-04-03,650
2024-04-04,405
2024-04-04,754
2024-04-05,86
2024-04-05,35
2024-04-06,879
2024-04-06,940
2024-04-07,744
2024-04-07,709
2024-04-08,643
2024-04-08,733
2024-04-09,135
2024-04-09,754
2024-04-10,784
2024-04-10,995
2024-04-11,525
2024-04-11,554
2024-04-12,951
2024-04-12,122
2024-04-13,373
2024-04-13,867
2024-04-14,701
2024-04-14,669
2024-04-15,600
2024-04-15,843
2024-04-16,411
2024-04-16,654
2024-04-17,597
2024-04-17,459
2024-04-18,233
2024-04-18,461
2024-04-19,570
2024-04-19,320
2024-04-20,680
2024-04-20,703
2024-04-21,736
2024-04-21,746
2024-04-22,311
2024-04-22,410
2024-04-23,912
2024-04-23,293
2024-04-24,401
2024-04-24,393
2024-04-25,839
2024-04-25,173
2024-04-26,381
2024-04-26,277
2024-04-27,857
2024-04-27,556
2024-04-28,434
2024-04-28,197
2024-04-29,533
2024-04-29,954
2024-04-30,206
2024-04-30,105
2024-05-01,599
2024-05-01,836
