Fecha,Resultados
2009-09-17,2246
2009-09-18,6125
2009-09-19,1514
2009-09-20,7490
2009-09-21,7897
2009-09-22,7502
2009-09-24,4574
2009-09-25,1979
2009-09-26,1517
2009-09-27,9268
2009-09-28,6360
2009-09-29,9754
2009-09-30,9803
2009-10-01,9888
2009-10-02,6948
2009-10-03,3752
2009-10-04,8697
2009-10-05,9626
2009-10-06,6413
2009-10-07,1946
2009-10-08,7694
2009-10-09,7307
2009-10-10,3546
2009-10-11,2805
2009-10-12,8517
2009-10-13,2646
2009-10-14,3542
2009-10-15,7565
2009-10-16,336
2009-10-17,2907
2009-10-18,3987
2009-10-19,7022
2009-10-20,3101
2009-10-21,3356
2009-10-22,6322
2009-10-23,7524
2009-10-24,1606
2009-10-25,6670
2009-10-26,8229
2009-10-27,6384
2009-10-28,2796
2009-10-29,9993
2009-10-30,9208
2009-10-31,4188
2009-11-01,4966
2009-11-02,8699
2009-11-03,4585
2009-11-04,8203
2009-11-05,3576
2009-11-06,6626
2009-11-07,4538
2009-11-08,5223
2009-11-09,6936
2009-11-10,8922
2009-11-11,6836
2009-11-12,6752
2009-11-13,1056
2009-11-14,5591
2009-11-15,6471
2009-11-16,2186
2009-11-17,4452
2009-11-18,1115
2009-11-19,139
2009-11-20,8428
2009-11-21,1587
2009-11-22,8861
2009-11-23,1532
2009-11-24,6004
2009-11-25,2593
2009-11-26,3332
2009-11-27,20
2009-11-28,5824
2009-11-29,8204
2009-11-30,4100
2009-12-01,6680
2009-12-02,7947
2009-12-03,3264
2009-12-04,6219
2009-12-05,2626
2009-12-06,6856
2009-12-07,1961
2009-12-08,5332
2009-12-09,2018
2009-12-10,102
2009-12-11,9503
2009-12-12,5848
2009-12-13,6704
2009-12-14,3131
2009-12-15,9013
2009-12-16,5703
2009-12-17,9303
2009-12-18,977
2009-12-19,2731
2009-12-20,8600
2009-12-21,7852
2009-12-22,7178
2009-12-23,4863
2009-12-24,8208
2009-12-25,3426
2009-12-26,4768
2009-12-27,5712
2009-12-28,8734
2009-12-29,5761
2009-12-30,3714
2009-12-31,1820
2010-01-02,8423
2010-01-03,9865
2010-01-04,2027
2010-01-05,8920
2010-01-06,1917
2010-01-07,8650
2010-01-08,6407
2010-01-09,4282
2010-01-10,676
2010-01-11,4399
2010-01-12,4692
2010-01-13,1022
2010-01-14,3051
2010-01-15,1131
2010-01-16,6014
2010-01-17,9612
2010-01-18,589
2010-01-19,2855
2010-01-20,913
2010-01-21,3971
2010-01-22,3644
2010-01-23,127
2010-01-24,8894
2010-01-25,6258
2010-01-26,4251
2010-01-27,3397
2010-01-28,9136
2010-01-29,8625
2010-01-30,3592
2010-01-31,5686
2010-02-01,8127
2010-02-02,4587
2010-02-03,6134
2010-02-04,2289
2010-02-05,4306
2010-02-06,9597
2010-02-07,2521
2010-02-08,4234
2010-02-09,6249
2010-02-10,9681
2010-02-11,8603
2010-02-12,1972
2010-02-13,442
2010-02-14,3755
2010-02-15,8329
2010-02-16,3176
2010-02-17,2856
2010-02-18,9542
2010-02-19,6562
2010-02-20,8723
2010-02-21,3880
2010-02-22,1074
2010-02-23,6005
2010-02-24,2995
2010-02-25,2552
2010-02-26,3763
2010-02-27,5145
2010-02-28,808
2010-03-01,8531
2010-03-02,4399
2010-03-03,8610
2010-03-04,4223
2010-03-05,2231
2010-03-06,261
2010-03-07,3158
2010-03-08,3922
2010-03-09,3320
2010-03-10,4859
2010-03-11,4165
2010-03-12,9666
2010-03-13,9223
2010-03-14,5506
2010-03-15,2342
2010-03-16,6715
2010-03-17,9336
2010-03-18,7325
2010-03-19,4860
2010-03-20,5987
2010-03-21,2490
2010-03-22,7175
2010-03-23,5695
2010-03-24,9691
2010-03-25,8192
2010-03-26,3826
2010-03-27,6056
2010-03-28,6243
2010-03-29,944
2010-03-30,6627
2010-03-31,4284
2010-04-01,930
2010-04-02,2452
2010-04-03,8624
2010-04-04,71
2010-04-05,1602
2010-04-06,5880
2010-04-07,9193
2010-04-08,1705
2010-04-09,9009
2010-04-10,4199
2010-04-11,6892
2010-04-12,5249
2010-04-13,912
2010-04-14,101
2010-04-15,5847
2010-04-16,8631
2010-04-17,4195
