Fecha,Resultado
2006-02-06,1221
2006-02-13,2053
2006-02-20,5169
2006-02-27,7495
2006-03-06,8779
2006-03-13,9797
2006-03-20,7103
2006-03-27,2162
2006-04-03,7794
2006-04-10,6777
2006-04-17,352
2006-04-24,6576
2006-05-02,5416
2006-05-09,6587
2006-05-16,21
2006-05-23,1147
2006-05-30,7275
2006-06-06,7754
2006-06-13,8632
2006-06-20,2713
2006-06-27,8050
2006-07-04,6186
2006-07-11,6589
2006-07-18,1342
2006-07-25,4801
2006-08-01,4053
2006-08-08,9514
2006-08-15,590
2006-08-22,6646
2006-08-29,975
2006-09-05,3711
2006-09-12,7531
2006-09-19,2977
2006-09-26,7373
2006-10-03,9804
2006-10-10,8889
2006-10-17,8309
2006-10-24,8120
2006-10-31,5460
2006-11-07,7512
2006-11-14,4959
2006-11-21,2687
2006-11-28,4824
2006-12-05,2747
2006-12-12,4133
2006-12-19,6585
2006-12-26,9412
2007-01-09,3379
2007-01-16,8318
2007-01-23,7246
2007-01-30,8886
2007-02-06,665
2007-02-13,7210
2007-02-20,531
2007-02-27,8835
2007-03-06,486
2007-03-13,8979
2007-03-20,7722
2007-03-27,1812
2007-04-03,506
2007-04-10,6231
2007-04-17,287
2007-04-24,5017
2007-05-01,5969
2007-05-08,9203
2007-05-15,2508
2007-05-22,9752
2007-05-29,7535
2007-06-05,3675
2007-06-12,2992
2007-06-19,7693
2007-06-26,2707
2007-07-03,6649
2007-07-10,548
2007-07-17,2595
2007-07-24,5818
2007-07-31,2623
2007-08-07,9700
2007-08-14,2799
2007-08-21,8003
2007-08-28,9990
2007-09-04,2619
2007-09-11,7063
2007-09-18,1995
2007-09-25,6559
2007-10-02,69
2007-10-09,7902
2007-10-16,9641
2007-10-23,7432
2007-10-30,5516
2007-11-06,3339
2007-11-13,8651
2007-11-20,7504
2007-11-27,4365
2007-12-04,420
2007-12-11,6680
2007-12-18,1355
2007-12-25,6505
2008-01-01,9586
2008-01-08,5764
2008-01-15,3815
2008-01-22,3605
2008-01-29,9258
2008-02-05,5076
2008-02-12,4627
2008-02-19,827
2008-02-26,8911
2008-03-04,4310
2008-03-11,4184
2008-03-18,8268
2008-03-25,3625
2008-04-01,6782
2008-04-08,8720
2008-04-15,4221
2008-04-22,6260
2008-04-29,7437
2008-05-06,2532
2008-05-13,7903
2008-05-20,3646
2008-05-27,232
2008-06-03,8014
2008-06-10,7040
2008-06-17,2292
2008-06-24,9684
2008-07-01,9274
2008-07-08,6856
2008-07-15,5702
2008-07-22,5121
2008-07-29,5257
2008-08-05,4780
2008-08-12,280
2008-08-19,400
2008-08-26,3954
2008-09-02,8
2008-09-09,4473
2008-09-16,1870
2008-09-23,6534
2008-09-30,8946
2008-10-07,3953
2008-10-14,1455
2008-10-21,8302
2008-10-28,202
2008-11-04,4728
2008-11-11,5176
2008-11-18,7832
2008-11-25,9740
2008-12-02,9283
2008-12-09,1316
2008-12-16,3279
2008-12-23,9133
2008-12-30,4230
2009-01-06,1906
2009-01-13,8625
2009-01-20,4619
2009-01-27,8066
2009-02-03,1044
2009-02-10,3237
2009-02-17,8860
2009-02-24,2407
2009-03-03,2722
2009-03-10,6146
2009-03-17,2214
2009-03-24,761
2009-03-31,8365
2009-04-07,1910
2009-04-14,334
2009-04-21,3594
2009-04-28,9910
2009-05-05,8607
2009-05-12,816
2009-05-19,5214
2009-05-26,5993
2009-06-02,8817
2009-06-09,7398
2009-06-16,7793
2009-06-23,7792
2009-06-30,9182
2009-07-07,9001
2009-07-14,1303
2009-07-21,6219
2009-07-28,1603
2009-08-04,9087
2009-08-11,579
2009-08-18,9184
2009-08-25,8216
2009-09-01,2069
2009-09-08,8459
2009-09-15,1715
2009-09-22,4824
2009-09-29,4769
2009-10-06,9329
2009-10-13,8128
2009-10-20,2773
2009-10-27,4069
2009-11-03,6756
2009-11-10,2613
2009-11-17,5740
2009-11-24,5586
2009-12-01,4077
2009-12-08,3873
2009-12-15,7627
2009-12-22,674
2009-12-29,4561
2010-01-05,5093
2010-01-12,71
2010-01-19,8458
2010-01-26,3337
2010-02-02,3943
2010-02-09,3609
2010-02-16,2825
2010-02-23,7158
2010-03-02,5880
2010-03-09,1360
2010-03-16,6699
2010-03-23,7531
2010-03-30,7677
2010-04-06,2949
2010-04-13,8327
2010-04-20,8140
2010-04-27,8022
2010-05-04,2513
2010-05-11,1026
2010-05-18,1171
2010-05-25,5786
2010-06-01,1880
2010-06-08,6272
2010-06-15,6212
2010-06-22,573
2010-06-29,4576
2010-07-06,2528
2010-07-13,8584
2010-07-20,8593
2010-07-27,3521
2010-08-03,4152
2010-08-10,9712
2010-08-17,9217
2010-08-24,5399
2010-08-31,9109
2010-09-07,3012
2010-09-14,2644
2010-09-21,1753
2010-09-28,6108
2010-10-05,5654
2010-10-12,5976
2010-10-19,6164
2010-10-26,4433
2010-11-02,8976
2010-11-09,4854
2010-11-16,163
2010-11-23,7336
2010-11-30,6994
2010-12-07,5307
2010-12-14,4155
2010-12-21,2540
2010-12-28,1204
2011-01-04,3873
2011-01-11,4837
2011-01-18,4862
2011-01-25,5910
2011-02-01,2354
2011-02-08,6564
2011-02-15,3327
2011-02-22,1491
2011-03-01,4687
2011-03-08,3187
2011-03-15,9318
2011-03-22,2370
2011-03-29,780
2011-04-05,1925
2011-04-12,7532
2011-04-19,3530
2011-04-26,8376
2011-05-03,5782
2011-05-10,3718
2011-05-17,1666
2011-05-24,6031
2011-05-31,1558
2011-06-07,454
2011-06-14,6001
2011-06-21,2977
2011-06-28,7032
2011-07-05,5155
2011-07-12,5558
2011-07-19,9695
2011-07-26,2185
2011-08-02,2448
2011-08-09,3910
2011-08-16,4505
2011-08-23,365
2011-08-30,7972
2011-09-06,6878
2011-09-13,5080
2011-09-20,8024
2011-09-27,5492
2011-10-04,8314
2011-10-11,2883
2011-10-18,4346
2011-10-25,1720
2011-11-01,6055
2011-11-08,2138
2011-11-15,8422
2011-11-22,583
2011-11-29,9607
2011-12-06,828
2011-12-13,2513
2011-12-20,2536
2011-12-27,6448
2012-01-03,4097
2012-01-10,8650
2012-01-17,637
2012-01-24,9185
2012-01-31,2167
2012-02-07,6850
2012-02-14,2470
2012-02-21,9361
2012-02-28,3644
2012-03-06,2490
2012-03-13,8136
2012-03-20,7767
2012-03-27,7407
2012-04-03,6358
2012-04-10,2443
2012-04-17,3927
2012-04-24,48
2012-05-01,6423
2012-05-08,3099
2012-05-15,4315
2012-05-22,5045
2012-05-29,1025
2012-06-05,3083
2012-06-12,1177
2012-06-19,4536
2012-06-26,6597
2012-07-03,1389
2012-07-10,7064
2012-07-17,7564
2012-07-24,1240
2012-07-31,3468
2012-08-07,9916
2012-08-14,4212
2012-08-21,6196
2012-08-28,1294
2012-09-04,5240
2012-09-11,8426
2012-09-18,4802
2012-09-25,201
2012-10-02,8599
2012-10-09,3692
2012-10-16,5902
2012-10-23,1463
2012-10-30,6521
2012-11-06,4439
2012-11-13,545
2012-11-20,7611
2012-11-27,8913
2012-12-04,7021
2012-12-11,3413
2012-12-18,1328
2012-12-25,9373
2013-01-01,7762
2013-01-08,8794
2013-01-15,7080
2013-01-22,4873
2013-01-29,5595
2013-02-05,6215
2013-02-12,4696
2013-02-19,677
2013-02-26,585
2013-03-05,2770
2013-03-12,7412
2013-03-19,1234
2013-03-26,5488
2013-04-02,5955
2013-04-09,2723
2013-04-16,4361
2013-04-23,8130
2013-04-30,1384
2013-05-07,3003
2013-05-14,3489
2013-05-21,5976
2013-05-28,3426
2013-06-04,1409
2013-06-11,6759
2013-06-18,9700
2013-06-25,4999
2013-07-02,7862
2013-07-09,9886
2013-07-16,3558
2013-07-23,8886
2013-07-30,2921
2013-08-06,3301
2013-08-13,6824
2013-08-20,2871
2013-08-27,5687
2013-09-03,3963
2013-09-10,4258
2013-09-17,8918
2013-09-24,7374
2013-10-01,8337
2013-10-08,1848
2013-10-15,7681
2013-10-22,5971
2013-10-29,2480
2013-11-05,5644
2013-11-12,5103
2013-11-19,7257
2013-11-26,8963
2013-12-03,7550
2013-12-10,7835
2013-12-17,30
2013-12-24,7374
2013-12-31,3092
2014-01-07,971
2014-01-14,5644
2014-01-21,7246
2014-01-28,1848
2014-02-04,3699
2014-02-11,4426
2014-02-18,4629
2014-02-25,1625
2014-03-04,3940
2014-03-11,9216
2014-03-18,856
2014-03-25,2141
2014-04-01,1608
2014-04-08,2990
2014-04-15,1065
2014-04-22,4104
2014-04-29,5837
2014-05-06,262
2014-05-13,4688
2014-05-20,5081
2014-05-27,921
2014-06-03,6991
2014-06-10,54
2014-06-17,6701
2014-06-24,68
2014-07-01,5134
2014-07-08,792
2014-07-15,9506
2014-07-22,8780
2014-07-29,4355
2014-08-05,59
2014-08-12,6372
2014-08-19,3393
2014-08-26,8339
2014-09-02,2560
2014-09-09,693
2014-09-16,7309
2014-09-23,3171
2014-09-30,7866
2014-10-07,9580
2014-10-14,7269
2014-10-21,7132
2014-10-28,3126
2014-11-04,3177
2014-11-11,2802
2014-11-18,3360
2014-11-25,3323
2014-12-02,633
2014-12-09,808
2014-12-16,7832
2014-12-23,7167
2014-12-30,9423
2015-01-06,858
2015-01-13,7231
2015-01-20,3074
2015-01-27,201
2015-02-03,8616
2015-02-10,279
2015-02-17,7519
2015-02-24,6610
2015-03-03,2584
2015-03-10,6265
2015-03-17,6974
2015-03-24,7413
2015-03-31,1849
2015-04-07,6964
2015-04-14,3343
2015-04-21,5541
2015-04-28,3244
2015-05-05,6341
2015-05-12,4139
2015-05-19,7509
2015-05-26,6927
2015-06-02,4440
2015-06-09,7085
2015-06-16,289
2015-06-23,9488
2015-06-30,8172
2015-07-07,7422
2015-07-14,9586
2015-07-21,7735
2015-07-28,2577
2015-08-04,8347
2015-08-11,880
2015-08-18,5600
2015-08-25,6764
2015-09-01,7369
2015-09-08,8217
2015-09-15,8751
2015-09-22,2042
2015-09-29,9670
2015-10-06,1554
2015-10-13,7358
2015-10-20,8544
2015-10-27,558
2015-11-03,3078
2015-11-10,9361
2015-11-17,5677
2015-11-24,3585
2015-12-01,7132
2015-12-08,4163
2015-12-15,7493
2015-12-22,3968
2015-12-29,4251
2016-01-05,9751
2016-01-12,8763
2016-01-19,3974
2016-01-26,6554
2016-02-02,1288
2016-02-09,4261
2016-02-16,6032
2016-02-23,3801
2016-03-01,9779
2016-03-08,5471
2016-03-15,5273
2016-03-22,7121
2016-03-29,9544
2016-04-05,2553
2016-04-12,6596
2016-04-19,3218
2016-04-26,3407
2016-05-03,8576
2016-05-10,8541
2016-05-17,7068
2016-05-24,1477
2016-05-31,9071
2016-06-07,9570
2016-06-14,1809
2016-06-21,6618
2016-06-28,2538
2016-07-05,2929
2016-07-12,9033
2016-07-19,4076
2016-07-26,4559
2016-08-02,2815
2016-08-09,6940
2016-08-16,9164
2016-08-23,3735
2016-08-30,1384
2016-09-06,9298
2016-09-13,9418
2016-09-20,4031
2016-09-27,6898
2016-10-04,8112
2016-10-11,4207
2016-10-18,5169
2016-10-25,3724
2016-11-01,5419
2016-11-08,1213
2016-11-15,5566
2016-11-22,8304
2016-11-29,1914
2016-12-06,9800
2016-12-13,2449
2016-12-20,2779
2016-12-27,6145
2017-01-03,4488
2017-01-10,1083
2017-01-17,8783
2017-01-24,4794
2017-01-31,4448
2017-02-07,1095
2017-02-14,8008
