Fecha,Resultados
1975-01-10,8157
1975-01-17,4170
1975-01-24,7128
1975-02-01,3231
1975-02-14,6734
1975-02-21,5827
1975-02-28,2641
1975-03-07,1965
1975-03-14,256
1975-03-21,4377
1975-03-26,1139
1975-04-04,4279
1975-04-11,2776
1975-04-18,1262
1975-04-25,4896
1975-05-02,5761
1975-05-09,199
1975-05-16,8228
1975-05-23,2066
1975-05-25,6775
1975-05-30,1588
1975-06-05,613
1975-06-13,5086
1975-06-20,2519
1975-06-27,8136
1975-07-04,5246
1975-07-11,467
1975-07-18,8623
1975-08-01,5705
1975-08-08,2724
1975-08-14,7188
1975-08-22,5097
1975-08-29,1860
1975-09-05,7705
1975-09-12,8866
1975-09-19,1548
1975-09-26,1354
1975-10-03,1745
1975-10-10,2367
1975-10-17,9768
1975-10-24,5465
1975-10-31,6058
1975-11-07,3670
1975-11-14,4607
1975-11-21,3544
1975-11-28,5253
1975-12-05,9247
1975-12-12,7532
1975-12-19,4586
1976-01-09,2491
1976-01-16,6993
1976-01-23,3190
1976-01-30,166
1976-02-06,3224
1976-02-13,9540
1976-02-20,5242
1976-02-27,7711
1976-03-05,504
1976-03-12,3401
1976-03-18,1968
1976-03-26,5742
1976-04-02,7800
1976-04-09,766
1976-04-14,503
1976-04-23,3393
1976-04-30,7616
1976-05-07,9197
1976-05-14,2497
1976-05-21,3169
1976-05-28,2926
1976-06-04,6445
1976-06-11,8709
1976-06-18,9051
1976-06-24,6764
1976-07-02,7658
1976-07-09,5440
1976-07-16,6467
1976-07-23,7006
1976-07-30,5767
1976-08-06,9458
1976-08-13,8919
1976-08-20,5985
1976-08-27,8381
1976-09-03,3326
1976-09-10,6193
1976-09-17,8532
1976-09-24,5646
1976-10-01,8020
1976-10-08,285
1976-10-15,6726
1976-10-22,2212
1976-10-29,9912
1976-11-05,745
1976-11-12,3501
1976-11-19,1704
1976-11-26,7791
1976-12-03,8323
1976-12-10,5313
1976-12-17,8921
1976-12-24,9801
1977-01-07,8367
1977-01-14,4983
1977-01-21,7844
1977-01-28,3882
1977-02-04,4830
1977-02-11,2075
1977-02-18,6894
1977-02-25,8296
1977-03-04,7067
1977-03-11,470
1977-03-18,8606
1977-03-25,7372
1977-04-01,4759
1977-04-06,9363
1977-04-15,8946
1977-04-22,6434
1977-04-29,6963
1977-05-06,684
1977-05-13,4331
1977-05-20,1389
1977-05-27,3211
1977-06-03,9986
1977-06-10,6092
1977-06-16,4842
1977-06-24,821
1977-07-01,2856
1977-07-08,893
1977-07-15,1671
1977-07-22,6490
1977-07-29,2653
1977-08-05,9707
1977-08-12,8101
1977-08-19,9036
1977-08-26,1862
1977-09-02,4065
1977-09-09,1337
1977-09-16,1286
1977-09-23,5257
1977-09-30,949
1977-10-07,9474
1977-10-14,9661
1977-10-21,7163
1977-10-28,8965
1977-11-04,842
1977-11-10,4748
1977-11-18,7849
1977-11-25,5223
1977-12-02,1606
1977-12-09,613
1977-12-16,7603
1977-12-23,8801
1978-01-05,4963
1978-01-13,6702
1978-01-20,3685
1978-01-27,2723
1978-02-03,6093
1978-02-10,3994
1978-02-17,9606
1978-02-24,2282
1978-03-03,6801
1978-03-10,9522
1978-03-18,4359
1978-03-22,4232
1978-03-31,7796
1978-04-07,1956
1978-04-14,3112
1978-04-21,8584
1978-04-28,4248
1978-05-05,9482
1978-05-12,6150
1978-05-19,8050
1978-05-26,7604
1978-06-01,4521
1978-06-09,5008
1978-06-16,2594
1978-06-23,1846
1978-06-30,2616
1978-07-07,4401
1978-07-14,4548
1978-07-21,9740
1978-07-28,709
1978-08-04,4661
1978-08-11,8636
1978-08-18,6388
1978-08-25,3302
1978-09-01,5607
1978-09-08,2113
1978-09-15,6680
1978-09-22,9293
1978-09-29,2584
1978-10-06,307
1978-10-13,2308
1978-10-20,8716
1978-10-27,406
1978-11-03,9315
1978-11-10,4463
1978-11-17,2434
1978-11-24,3803
1978-12-01,6500
1978-12-07,382
1978-12-15,1640
1978-12-22,4612
1979-01-05,3204
1979-01-12,5288
1979-01-19,2749
1979-01-26,3079
1979-02-02,5221
1979-02-09,3374
1979-02-11,7259
1979-02-23,945
1979-03-02,2687
1979-03-09,4576
1979-03-16,2413
1979-03-23,5986
1979-03-30,6652
1979-04-06,7200
1979-04-11,7541
1979-04-20,4310
1979-04-27,7013
1979-05-04,8469
1979-05-11,7193
1979-05-18,1498
1979-05-25,7301
1979-06-01,4011
1979-06-08,9967
1979-06-15,270
1979-06-21,3347
1979-06-28,1823
1979-07-06,8661
1979-07-13,5173
1979-07-19,5185
1979-07-27,6759
1979-08-03,4750
1979-08-10,3092
1979-08-17,1539
1979-08-24,3526
1979-08-31,5967
1979-09-07,5329
1979-09-14,8301
1979-09-21,8441
1979-09-28,7612
1979-10-05,8687
1979-10-11,9385
1979-10-19,3611
1979-10-26,8640
1979-11-02,2732
1979-11-09,2805
1979-11-16,3350
1979-11-23,3860
1979-11-30,2885
1979-12-07,2327
1979-12-14,6993
1979-12-21,3712
1980-01-04,5306
1980-01-11,1178
1980-01-18,2934
1980-01-25,269
1980-02-01,6717
1980-02-08,9769
1980-02-15,6603
1980-02-22,4839
1980-02-29,4803
1980-03-07,2992
1980-03-14,7616
1980-03-21,3452
1980-03-28,5880
1980-04-02,174
1980-04-11,709
1980-04-18,3816
1980-04-25,8309
1980-05-02,9230
1980-05-09,3103
1980-05-16,5887
1980-05-23,7191
1980-05-30,4379
1980-06-06,3322
1980-06-12,4252
1980-06-20,8169
1980-06-27,2930
1980-07-04,8167
1980-07-11,5797
1980-07-18,9197
1980-07-25,5047
1980-08-01,7932
1980-08-08,3908
1980-08-14,6616
1980-08-22,5184
1980-08-29,8384
1980-09-05,2840
1980-09-12,6665
1980-09-19,4742
1980-09-26,1403
1980-10-03,4794
1980-10-10,8476
1980-10-17,305
1980-10-24,7683
1980-10-31,2936
1980-11-07,8973
1980-11-14,5050
1980-11-21,9573
1980-11-28,3355
1980-12-05,6967
1980-12-12,2041
1980-12-19,8227
1981-01-09,9377
1981-01-16,6069
1981-01-23,8564
