Fecha,Resultados
2006-02-02,5476
2006-02-02,4446
2006-02-03,932
2006-02-03,5303
2006-02-04,7702
2006-02-04,9240
2006-02-05,6860
2006-02-05,5755
2006-02-06,7359
2006-02-06,8327
2006-02-07,9722
2006-02-07,43
2006-02-08,8496
2006-02-08,5096
2006-02-09,364
2006-02-09,8808
2006-02-10,3752
2006-02-10,5493
2006-02-11,5265
2006-02-11,2160
2006-02-12,3635
2006-02-12,2277
2006-02-13,2963
2006-02-13,5212
2006-02-14,730
2006-02-14,8852
2006-02-15,8631
2006-02-15,8852
2006-02-16,9708
2006-02-16,8806
2006-02-17,7560
2006-02-17,8315
2006-02-18,5150
2006-02-18,2459
2006-02-19,9478
2006-02-19,3850
2006-02-20,4594
2006-02-20,5369
2006-02-21,1965
2006-02-21,3877
2006-02-22,5082
2006-02-22,8838
2006-02-23,3089
2006-02-23,1035
2006-02-24,967
2006-02-24,1535
2006-02-25,4540
2006-02-25,8422
2006-02-26,2139
2006-02-26,4952
2006-02-27,3870
2006-02-27,5893
2006-02-28,402
2006-02-28,215
2006-03-01,3741
2006-03-01,8807
2006-03-02,494
2006-03-02,8161
2006-03-03,9381
2006-03-03,4387
2006-03-04,1562
2006-03-04,8414
2006-03-05,7880
2006-03-05,7275
2006-03-06,6066
2006-03-06,348
2006-03-07,6721
2006-03-07,6911
2006-03-08,6601
2006-03-08,3057
2006-03-09,5446
2006-03-09,5988
2006-03-10,6129
2006-03-10,8748
2006-03-11,7649
2006-03-11,825
2006-03-12,1165
2006-03-12,2344
2006-03-13,3613
2006-03-13,9868
2006-03-14,8503
2006-03-14,5738
2006-03-15,5129
2006-03-15,8749
2006-03-16,7721
2006-03-16,2764
2006-03-17,5214
2006-03-17,4419
2006-03-18,1261
2006-03-18,8690
2006-03-19,3553
2006-03-19,2388
2006-03-20,5585
2006-03-20,2248
2006-03-21,4211
2006-03-21,5814
2006-03-22,9121
2006-03-22,6246
2006-03-23,4008
2006-03-23,5111
2006-03-24,3719
2006-03-24,2644
2006-03-25,1595
2006-03-25,4192
2006-03-26,8242
2006-03-26,45
2006-03-27,2447
2006-03-27,2659
2006-03-28,3983
2006-03-28,1431
2006-03-29,5999
2006-03-29,2250
2006-03-30,5176
2006-03-30,4223
2006-03-31,9238
2006-03-31,9685
2006-04-01,1281
2006-04-02,8393
2006-04-02,5962
2006-04-03,4975
2006-04-03,9295
2006-04-04,3690
2006-04-04,9773
2006-04-05,588
2006-04-05,3354
2006-04-06,4927
2006-04-06,2712
2006-04-07,4439
2006-04-07,642
2006-04-08,2391
2006-04-08,7685
2006-04-09,3437
2006-04-09,7512
2006-04-10,1023
2006-04-10,3721
2006-04-11,2219
2006-04-11,1750
2006-04-12,6952
2006-04-12,6467
2006-04-13,5285
2006-04-13,496
2006-04-15,6311
2006-04-15,4156
2006-04-16,7023
2006-04-16,796
2006-04-17,2279
2006-04-17,403
2006-04-18,7581
2006-04-18,75
2006-04-19,4375
2006-04-19,1733
2006-04-20,2351
2006-04-20,9645
2006-04-21,6018
2006-04-21,8107
2006-04-22,7363
2006-04-22,1608
2006-04-23,3516
2006-04-24,1004
2006-04-24,3806
2006-04-24,8949
2006-04-25,7023
2006-04-25,4947
2006-04-26,9741
2006-04-26,8704
2006-04-27,7817
2006-04-27,8505
2006-04-28,588
2006-04-28,4404
2006-04-29,4901
2006-04-29,8756
2006-04-30,1310
2006-04-30,6888
2006-05-01,2863
2006-05-01,8723
2006-05-02,5637
2006-05-02,2384
2006-05-03,8311
2006-05-03,2442
2006-05-04,5910
2006-05-04,1362
2006-05-05,8586
2006-05-05,2036
2006-05-06,9243
2006-05-06,9575
2006-05-07,6947
2006-05-07,4893
2006-05-08,3592
2006-05-08,7135
2006-05-09,5661
2006-05-09,3197
2006-05-10,5470
2006-05-10,1159
2006-05-11,3758
2006-05-11,7420
2006-05-12,428
2006-05-12,6550
2006-05-13,3828
2006-05-13,5186
2006-05-14,3115
2006-05-14,8724
2006-05-15,7737
2006-05-15,8585
2006-05-16,7676
2006-05-16,9477
2006-05-17,630
2006-05-17,6769
2006-05-18,9767
2006-05-18,453
2006-05-19,2389
2006-05-19,2588
2006-05-20,340
2006-05-20,4678
2006-05-21,6423
2006-05-22,8535
2006-05-22,273
2006-05-22,2109
2006-05-23,3830
2006-05-23,674
2006-05-24,813
2006-05-24,2187
2006-05-25,896
2006-05-25,8859
2006-05-26,665
2006-05-26,9546
2006-05-27,592
2006-05-27,1935
2006-05-28,7675
2006-05-29,8968
2006-05-29,3138
2006-05-29,8626
2006-05-30,9541
2006-05-30,5539
2006-05-31,5405
2006-05-31,8711
2006-07-01,4461
2006-07-01,3864
2006-07-02,490
2006-07-02,7321
2006-07-03,3145
2006-07-03,6531
2006-07-04,8097
2006-07-04,6852
2006-07-05,9780
2006-07-05,1597
2006-07-06,1853
2006-07-06,8388
2006-07-07,8596
2006-07-07,480
2006-07-08,246
2006-07-08,5022
2006-07-09,4940
2006-07-09,688
2006-07-10,6011
2006-07-10,1933
2006-07-11,7132
2006-07-11,1929
2006-07-12,4691
2006-07-12,6583
2006-07-13,1227
2006-07-13,6862
2006-07-14,1688
2006-07-14,778
2006-07-15,9426
2006-07-15,6281
2006-07-16,7703
2006-07-16,1943
2006-07-17,8731
2006-07-17,8884
2006-07-18,1880
2006-07-18,1141
2006-07-19,5502
2006-07-19,2963
2006-07-20,5942
2006-07-20,1767
2006-07-21,3216
2006-07-21,9376
2006-07-22,5908
2006-07-22,4431
2006-07-23,7917
2006-07-23,3770
2006-07-24,9486
2006-07-24,7275
2006-07-25,7858
2006-07-25,25
2006-07-26,4381
2006-07-26,1141
2006-07-27,3748
2006-07-27,7055
2006-07-28,3485
2006-07-28,6180
2006-07-29,4064
2006-07-29,8482
2006-07-30,6343
2006-07-30,4126
2006-07-31,5446
2006-07-31,7226
2006-08-01,4084
2006-08-01,3969
2006-08-02,2962
2006-08-02,253
2006-08-03,437
2006-08-03,7408
2006-08-04,5112
2006-08-04,4775
2006-08-05,5483
2006-08-05,9811
2006-08-06,4426
2006-08-06,7372
2006-08-07,8002
2006-08-07,8201
2006-08-08,8146
2006-08-08,6210
2006-08-09,8945
2006-08-09,4934
2006-08-10,9234
2006-08-10,8450
2006-08-11,867
2006-08-11,3390
2006-08-12,3009
2006-08-12,2505
2006-08-13,1675
2006-08-13,2434
2006-08-14,5491
2006-08-14,1459
2006-08-15,7879
2006-08-15,6603
2006-08-16,3396
2006-08-16,8535
2006-08-17,2422
2006-08-17,7313
2006-08-18,3756
2006-08-18,3775
2006-08-19,1598
2006-08-19,9328
2006-08-20,3205
2006-08-20,9427
2006-08-21,57
2006-08-21,8775
2006-08-22,9097
2006-08-22,429
2006-08-23,4624
2006-08-23,6154
2006-08-24,4565
2006-08-24,2807
2006-08-25,7763
2006-08-25,3832
2006-08-26,8589
2006-08-26,4147
2006-08-27,6599
2006-08-27,2670
2006-08-28,3061
2006-08-28,6695
2006-08-29,647
2006-08-29,6007
2006-08-30,4703
2006-08-30,9317
2006-08-31,2566
2006-08-31,3441
2006-09-01,6540
2006-09-01,1865
2006-09-02,1888
2006-09-02,9706
2006-09-03,7291
2006-09-03,1691
2006-09-04,5438
2006-09-04,463
2006-09-05,6864
2006-09-05,1601
2006-09-06,9240
2006-09-06,4800
2006-09-07,1782
2006-09-07,8312
2006-09-08,5010
2006-09-08,7047
2006-09-09,9329
2006-09-09,3853
2006-09-10,4798
2006-09-10,5485
2006-09-11,2346
2006-09-11,392
2006-09-12,428
2006-09-12,5635
2006-09-13,1447
2006-09-13,4573
2006-09-14,3812
2006-09-14,207
2006-09-15,9126
2006-09-15,1782
2006-09-16,4404
2006-09-16,3758
2006-09-17,6298
2006-09-17,5404
2006-09-18,6174
2006-09-18,2140
2006-09-19,4033
2006-09-19,5359
2006-09-20,9905
2006-09-20,1950
2006-09-21,8879
2006-09-21,4822
2006-09-22,2902
