Fecha,Resultados
2006-02-02,6744
2006-02-03,1380
2006-02-04,3750
2006-02-05,4925
2006-02-06,6875
2006-02-07,8217
2006-02-08,1599
2006-02-09,8241
2006-02-10,1023
2006-02-11,9018
2006-02-12,1403
2006-02-13,6216
2006-02-14,9891
2006-02-15,3543
2006-02-16,570
2006-02-17,1895
2006-02-18,2078
2006-02-19,1049
2006-02-20,2397
2006-02-21,2700
2006-02-22,2260
2006-02-23,4241
2006-02-24,5099
2006-02-25,9302
2006-02-26,2868
2006-02-27,5416
2006-02-28,8128
2006-03-01,3536
2006-03-02,8558
2006-03-03,6711
2006-03-04,3304
2006-03-05,9663
2006-03-06,5720
2006-03-07,9259
2006-03-08,8858
2006-03-09,339
2006-03-10,6584
2006-03-11,5561
2006-03-12,1527
2006-03-13,6472
2006-03-14,5554
2006-03-15,6245
2006-03-16,7712
2006-03-17,6903
2006-03-18,3291
2006-03-19,9387
2006-03-20,2291
2006-03-21,7164
2006-03-22,6750
2006-03-23,608
2006-03-24,4388
2006-03-25,6450
2006-03-26,5865
2006-03-27,5333
2006-03-28,5166
2006-03-29,2819
2006-03-30,586
2006-03-31,2784
2006-04-01,5281
2006-04-02,3123
2006-04-03,1210
2006-04-04,2747
2006-04-05,1447
2006-04-06,1362
2006-04-07,7622
2006-04-08,8912
2006-04-09,2348
2006-04-10,6394
2006-04-11,9227
2006-04-12,3453
2006-04-13,1065
2006-04-15,7606
2006-04-16,8419
2006-04-17,4894
2006-04-18,6495
2006-04-19,3718
2006-04-20,6600
2006-04-21,9494
2006-04-22,9289
2006-04-23,3858
2006-04-24,1167
2006-04-25,5572
2006-04-26,3850
2006-04-27,6180
2006-04-28,8631
2006-04-29,7579
2006-04-30,6052
2006-05-01,8182
2006-05-02,1039
2006-05-04,6494
2006-05-05,7757
2006-05-06,5288
2006-05-07,2240
2006-05-08,1878
2006-05-09,5080
2006-05-10,2387
2006-05-11,4831
2006-05-12,9031
2006-05-13,3799
2006-05-14,557
2006-05-15,8504
2006-05-16,2378
2006-05-17,9621
2006-05-18,6574
2006-05-19,4478
2006-05-20,2497
2006-05-21,4477
2006-05-22,9619
2006-05-23,9083
2006-05-24,4983
2006-05-25,6252
2006-05-26,9761
2006-05-27,9080
