Fecha,Resultados
2008-05-19,6969
2008-05-20,5705
2008-05-21,3248
2008-05-22,8025
2008-05-23,1416
2008-05-24,6406
2008-05-25,5253
2008-05-26,2198
2008-05-27,7993
2008-05-28,6705
2008-05-29,1851
2008-05-30,2783
2008-05-31,6644
2008-06-01,2149
2008-06-02,5327
2008-06-03,206
2008-06-04,860
2008-06-05,2471
2008-06-06,4804
2008-06-07,1204
2008-06-08,9528
2008-06-09,7611
2008-06-10,2727
2008-06-11,7581
2008-06-12,1063
2008-06-13,6819
2008-06-14,7543
2008-06-15,9033
2008-06-16,8723
2008-06-17,4043
2008-06-18,4626
2008-06-19,8268
2008-06-20,581
2008-06-21,499
2008-06-22,6314
2008-06-23,3382
2008-06-24,5662
2008-06-25,9745
2008-06-26,2734
2008-06-27,7181
2008-06-28,9879
2008-06-29,1535
2008-06-30,797
2008-07-01,4993
2008-07-02,2827
2008-07-03,3651
2008-07-04,1891
2008-07-05,16
2008-07-06,9570
2008-07-07,6815
2008-07-08,7595
2008-07-09,292
2008-07-10,5667
2008-07-11,3086
2008-07-12,8272
2008-07-13,6461
2008-07-14,1700
2008-07-15,8819
2008-07-16,7154
2008-07-17,7254
2008-07-18,2526
2008-07-19,8814
2008-07-20,7600
2008-07-21,5051
2008-07-22,3036
2008-07-23,6730
2008-07-24,4694
2008-07-25,2283
2008-07-26,7199
2008-07-27,9873
2008-07-28,427
2008-07-29,2952
2008-07-30,9719
2008-07-31,5848
2008-08-01,9232
2008-08-02,3494
2008-08-03,6716
2008-08-04,9486
2008-08-05,6769
2008-08-06,272
2008-08-07,7763
2008-08-08,7207
2008-08-09,5857
2008-08-10,1350
2008-08-11,9849
2008-08-12,4476
2008-08-13,7147
2008-08-14,1260
2008-08-15,4322
2008-08-16,1882
2008-08-17,4825
2008-08-18,9046
2008-08-19,4628
2008-08-20,1958
2008-08-21,1452
2008-08-22,5571
2008-08-23,9351
2008-08-24,5485
2008-08-25,531
2008-08-26,9569
2008-08-27,6922
2008-08-28,4282
2008-08-29,7875
2008-08-30,9619
2008-08-31,3491
2008-09-01,3603
2008-09-02,2318
2008-09-03,2265
2008-09-04,6235
2008-09-05,293
2008-09-06,4588
2008-09-07,3757
2008-09-08,4030
2008-09-09,2205
2008-09-10,5005
2008-09-11,6666
2008-09-12,8030
2008-09-13,5893
2008-09-14,3394
2008-09-15,5322
2008-09-16,4404
2008-09-17,2340
2008-09-18,8340
2008-09-19,1808
2008-09-20,5698
2008-09-21,4107
2008-09-22,7976
2008-09-23,6260
2008-09-24,1394
2008-09-25,1045
2008-09-26,9476
2008-09-27,4038
2008-09-28,258
2008-09-29,2910
2008-09-30,2343
2008-10-01,9360
2008-10-02,4434
2008-10-03,8377
2008-10-04,-
2008-10-05,-
2008-10-06,-
2008-10-07,-
2008-10-08,-
2008-10-09,-
2008-10-10,-
2008-10-11,-
2008-10-12,-
2008-10-13,-
2008-10-14,-
2008-10-15,-
2008-10-16,-
2008-10-17,-
2008-10-18,-
2008-10-19,-
2008-10-20,-
2008-10-21,-
2008-10-22,-
2008-10-23,-
2008-10-24,-
2008-10-25,-
2008-10-26,-
2008-10-27,-
2008-10-28,-
2008-10-29,-
2008-10-30,5554
2008-10-31,6857
2008-11-01,149
2008-11-02,9350
2008-11-03,4228
2008-11-04,4923
2008-11-05,4977
2008-11-06,3763
2008-11-07,5661
2008-11-08,6431
2008-11-09,3608
2008-11-10,9721
2008-11-11,7936
2008-11-12,5339
2008-11-13,8537
2008-11-14,2697
2008-11-15,3040
2008-11-16,83
2008-11-17,3000
2008-11-18,1957
2008-11-19,7169
2008-11-20,6363
2008-11-21,808
2008-11-22,9047
2008-11-23,9474
2008-11-24,6021
2008-11-25,4133
2008-11-26,4975
2008-11-27,1114
2008-11-28,9798
2008-11-29,1570
2008-11-30,7603
2008-12-01,7665
2008-12-02,2180
2008-12-03,1085
2008-12-04,1541
2008-12-05,1473
2008-12-06,8192
2008-12-07,2109
2008-12-08,4602
2008-12-09,1550
2008-12-10,3420
2008-12-11,8647
2008-12-12,6499
2008-12-13,3253
2008-12-14,1274
2008-12-15,3320
2008-12-16,4785
2008-12-17,8606
2008-12-18,868
2008-12-19,6566
2008-12-20,4223
2008-12-21,8364
2008-12-22,7036
2008-12-23,9388
2008-12-24,5904
2008-12-25,8310
2008-12-26,4654
2008-12-27,3118
2008-12-28,179
2008-12-29,8104
2008-12-30,1864
2008-12-31,3637
2009-01-01,567
2009-01-02,7509
2009-01-03,9056
2009-01-04,6778
2009-01-05,5583
2009-01-06,3094
2009-01-07,666
2009-01-08,8336
2009-01-09,149
2009-01-10,4008
2009-01-11,2200
2009-01-12,2227
2009-01-13,6841
2009-01-14,9501
2009-01-15,7238
2009-01-16,-
2009-01-17,-
2009-01-18,-
2009-01-19,-
2009-01-20,-
2009-01-21,-
2009-01-22,-
2009-01-23,-
2009-01-24,-
2009-01-25,-
2009-01-26,-
2009-01-27,-
