Fecha,Resultados
2006-02-08,7211
2006-02-15,481
2006-02-22,6154
2006-03-01,9112
2006-03-08,3001
2006-03-15,1250
2006-03-22,3549
2006-03-29,8236
2006-04-05,2118
2006-04-12,8665
2006-04-19,5582
2006-05-10,6795
2006-05-17,1436
2006-05-24,7539
2006-05-31,9701
2006-06-07,8703
2006-06-14,3215
2006-06-21,5511
2006-06-28,8023
2006-07-12,4047
2006-07-26,5978
2006-08-02,1800
2006-08-09,9927
2006-08-16,1963
2006-08-30,8643
2006-09-06,8474
2006-09-13,3285
2006-09-20,1154
2006-09-27,5370
2006-10-04,382
2006-10-11,6063
2006-10-18,4748
2006-11-01,1733
2006-11-08,5605
2006-11-15,376
2006-11-29,1581
2006-12-06,135
2006-12-13,2353
2006-12-27,218
2007-01-03,9514
2007-01-10,9906
2007-01-24,6805
2007-02-07,4169
2007-02-14,5288
2007-02-21,321
2007-02-28,4152
2007-03-07,7037
2007-03-14,5661
2007-03-21,4645
2007-03-28,3246
2007-04-04,7490
2007-04-11,9568
2007-04-18,2432
2007-04-25,5414
2007-05-02,3697
2007-05-09,9627
2007-05-16,4112
2007-05-23,7130
2007-05-30,3117
2007-06-06,6772
2007-06-13,8262
2007-06-20,9625
2007-06-27,7025
2007-07-04,197
2007-07-11,3098
2007-07-18,882
2007-07-25,7059
2007-08-01,8334
2007-08-08,6317
2007-08-15,368
2007-08-22,4986
2007-08-29,327
2007-09-05,6282
2007-09-12,6449
2007-09-19,1241
2007-09-26,4179
2007-10-03,7406
2007-10-10,3749
2007-10-17,5775
2007-10-24,7738
2007-10-31,7124
2007-11-07,4149
2007-11-14,1689
2007-11-21,3763
2007-11-28,5257
2007-12-05,6285
2007-12-12,9175
2007-12-19,681
2007-12-26,7293
2008-01-02,1430
2008-01-09,7532
2008-01-16,8260
2008-01-23,5258
2008-01-30,7287
2008-02-06,2253
2008-02-13,2057
2008-02-20,3146
2008-02-27,5731
2008-03-05,5432
2008-03-12,5669
2008-03-19,3197
2008-03-26,8515
2008-04-02,4612
2008-04-09,7604
2008-04-16,6209
2008-04-23,1875
2008-04-30,6681
2008-05-07,4576
2008-05-14,4949
2008-05-21,7917
2008-05-28,4416
2008-06-04,9827
2008-06-11,3587
2008-06-18,2286
2008-06-25,5732
2008-07-02,4320
2008-07-09,5105
2008-07-16,9165
2008-07-23,5838
2008-07-30,2657
2008-08-06,2803
2008-08-13,6690
2008-08-20,2771
2008-08-27,2945
2008-09-03,5282
2008-09-10,4198
2008-09-17,6500
2008-09-24,8911
2008-10-01,2432
2008-10-08,2135
2008-10-15,1885
2008-10-22,2080
2008-10-29,1046
2008-11-05,2463
2008-11-12,8249
2008-11-19,34
2008-11-26,4896
2008-12-03,7923
2008-12-10,3477
2008-12-17,7349
2008-12-24,1534
2008-12-31,9093
2009-01-07,2673
2009-01-14,6929
2009-01-21,2969
2009-01-28,356
2009-02-04,6384
2009-02-11,1163
2009-02-18,8318
2009-02-25,5746
2009-03-04,7065
2009-03-11,784
2009-03-18,6680
2009-03-25,1423
2009-04-01,5189
2009-04-08,8341
2009-04-15,3971
2009-04-22,4266
2009-04-29,4988
